date,open,high,low,close,volume,average,barCount
2015-10-13,57.19,58.08,57.02,57.51,5636319.0,57.758,39874
2015-10-14,57.52,59.14,57.51,58.63,10831161.0,58.67,71641
2015-10-15,59.0,59.91,58.65,59.26,7770814.0,59.205,47087
2015-10-16,59.36,60.0,58.91,59.91,7121982.0,59.534,42769
2015-10-19,59.46,59.63,58.61,59.1,9441163.0,59.032,55041
2015-10-20,58.68,59.21,58.68,59.0,7760608.0,58.99,51375
2015-10-21,59.29,59.77,58.89,58.97,5554244.0,59.415,38869
2015-10-22,59.49,60.64,59.49,60.43,8448307.0,60.326,56973
2015-10-23,60.63,61.19,60.49,60.73,7181277.0,60.873,46031
2015-10-26,60.91,60.91,58.7,59.21,11023115.0,59.187,68229
2015-10-27,58.91,59.35,58.77,59.28,6162080.0,59.121,41819
2015-10-28,59.38,60.3,59.23,60.27,6341854.0,59.782,42137
2015-10-29,59.67,60.23,59.58,60.0,4598735.0,59.957,31567
2015-10-30,60.12,60.2,59.42,59.42,6848881.0,59.821,46037
2015-11-02,59.7,60.76,59.51,60.64,7042927.0,60.363,43267
2015-11-03,60.4,61.18,60.26,60.87,6394273.0,60.914,43252
2015-11-04,60.89,61.01,60.07,60.26,9103068.0,60.476,56527
2015-11-05,56.73,56.81,49.92,51.07,60053198.0,51.932,294667
2015-11-06,51.64,53.7,51.61,53.42,27379908.0,53.108,138788
2015-11-09,52.88,53.35,52.62,52.94,11642814.0,52.993,66384
2015-11-10,52.53,52.99,51.95,52.27,10356598.0,52.352,61959
2015-11-11,52.6,53.24,52.37,52.85,9640154.0,52.889,60758
2015-11-12,52.75,53.19,52.52,52.58,8580495.0,52.891,54350
2015-11-13,52.3,52.75,51.82,51.94,8610921.0,52.078,54855
2015-11-16,51.96,52.86,51.96,52.77,7143905.0,52.565,45923
2015-11-17,52.7,53.55,52.57,52.98,8168702.0,53.101,54509
2015-11-18,51.94,51.94,47.52,48.0,40570928.0,48.627,207638
2015-11-19,48.51,49.28,48.23,48.39,18804937.0,48.807,86958
2015-11-20,48.75,49.77,48.5,49.62,14849587.0,49.337,76765
2015-11-23,49.09,49.58,48.76,48.97,9284698.0,49.122,52687
2015-11-24,49.03,49.73,48.86,49.41,9545142.0,49.377,52562
2015-11-25,49.36,49.65,48.85,49.1,8479448.0,49.252,46504
2015-11-27,48.67,48.85,48.47,48.54,2994324.0,48.647,18517
2015-11-30,48.6,48.86,48.3,48.79,8012120.0,48.592,46045
2015-12-01,48.75,49.32,48.6,49.3,8466176.0,48.941,44208
2015-12-02,51.91,53.44,51.8,51.85,31847990.0,52.622,162221
2015-12-03,51.91,52.24,50.37,51.4,21691834.0,51.026,97678
2015-12-04,52.09,52.57,51.41,52.34,11676109.0,52.077,70781
2015-12-07,52.31,52.54,51.89,52.43,8806240.0,52.273,53869
2015-12-08,50.5,50.96,49.3,49.48,16114902.0,50.02,82597
2015-12-09,49.64,49.98,48.42,48.59,12737940.0,48.987,74614
2015-12-10,48.59,49.57,48.47,48.57,9188419.0,48.923,53934
2015-12-11,48.2,48.36,47.34,47.46,10933545.0,47.714,69677
2015-12-14,47.41,47.96,45.93,46.83,14406683.0,46.545,89744
2015-12-15,47.71,48.81,46.8,48.02,16890132.0,48.156,103937
2015-12-16,48.25,48.6,47.15,48.07,11125338.0,47.751,70556
2015-12-17,49.32,49.6,47.54,47.54,12313540.0,48.258,71262
2015-12-18,47.37,48.04,47.02,47.43,17586712.0,47.499,90563
2015-12-21,47.61,48.93,47.54,48.76,12299056.0,48.392,68538
2015-12-22,48.53,49.19,48.43,49.06,8646878.0,48.971,52457
2015-12-23,49.24,49.52,48.9,49.04,7417972.0,49.144,44652
2015-12-24,49.0,49.88,49.0,49.55,4452834.0,49.642,23438
2015-12-28,49.45,49.81,49.23,49.58,6918974.0,49.552,36924
2015-12-29,50.17,51.25,50.07,50.88,12457934.0,50.845,64574
2015-12-30,50.88,51.25,50.36,50.41,7371416.0,50.736,41738
2015-12-31,50.06,50.44,49.89,49.98,5909900.0,50.134,33661
2016-01-04,49.43,50.18,48.91,50.12,10069102.0,49.563,62818
2016-01-05,50.48,50.6,49.07,49.14,11427996.0,49.567,65160
2016-01-06,48.36,48.66,47.76,48.64,11971601.0,48.387,70036
2016-01-07,47.78,48.0,45.98,46.14,16977472.0,46.626,98513
2016-01-08,46.82,46.83,45.84,45.88,12982360.0,46.17,71681
2016-01-11,46.35,46.53,45.33,46.07,11982615.0,45.907,71227
2016-01-12,46.39,46.68,45.62,46.52,7519289.0,46.123,48474
