date,open,high,low,close,volume,average,barCount
2015-10-13,22.64,22.91,22.57,22.67,1332189.0,22.73333333333333,4058
2015-10-14,22.6,22.69,22.26,22.33,1124912.25,22.43288888888889,3628
2015-10-15,22.48,23.14,22.4,23.09,2879914.5,22.85911111111111,8416
2015-10-16,23.22,23.33,22.96,23.2,1141679.25,23.132,3879
2015-10-19,23.0,23.28,22.9,23.06,1574597.25,23.12933333333333,4683
2015-10-20,23.02,23.27,23.0,23.17,1203309.0,23.14977777777778,3989
2015-10-21,23.17,23.27,22.7,22.76,1450219.5,22.94844444444445,4743
2015-10-22,22.69,23.52,22.58,23.4,1281534.75,23.27333333333333,4699
2015-10-23,23.61,23.76,23.26,23.72,1677717.0,23.59066666666667,5827
2015-10-26,23.81,23.97,23.62,23.93,1119910.5,23.83422222222222,3759
2015-10-27,23.75,24.0,23.59,23.84,1155955.5,23.78977777777778,4101
2015-10-28,23.91,24.92,23.8,24.91,1722996.0,24.49244444444445,5993
2015-10-29,24.78,25.08,24.63,24.74,1068939.0,24.77422222222222,3626
2015-10-30,24.74,24.85,24.48,24.49,1063838.25,24.60088888888889,3561
2015-11-02,24.61,25.11,24.49,25.0,1035114.75,24.92755555555555,3622
2015-11-03,24.88,25.17,24.6,25.09,1084682.25,25.06844444444445,3157
2015-11-04,25.2,25.38,25.07,25.14,1084691.25,25.19155555555555,3267
2015-11-05,25.15,25.36,25.06,25.25,867008.25,25.21511111111111,2890
2015-11-06,25.88,26.21,25.78,25.92,2094671.25,26.00177777777778,4977
2015-11-09,26.0,26.09,25.54,25.64,1596010.5,25.68444444444445,4893
2015-11-10,25.52,25.69,25.31,25.63,996086.25,25.53466666666667,3140
2015-11-11,25.79,25.79,25.52,25.64,941510.25,25.63866666666667,3243
2015-11-12,25.42,25.49,25.18,25.24,1198626.75,25.33022222222222,2959
2015-11-13,25.13,25.35,24.91,24.97,1026796.5,25.06622222222222,3136
2015-11-16,24.92,25.22,24.76,25.22,656034.75,24.98355555555555,2070
2015-11-17,25.27,25.42,25.08,25.16,579255.75,25.23466666666667,1911
2015-11-18,25.28,25.51,25.17,25.47,1521085.5,25.39555555555555,4290
2015-11-19,25.6,25.6,25.0,25.32,2066611.5,25.21288888888889,6953
2015-11-20,25.48,25.7,25.38,25.57,1320705.0,25.59377777777778,4180
2015-11-23,25.56,25.79,25.49,25.54,978324.75,25.59822222222222,3095
2015-11-24,25.3,25.91,25.19,25.81,1560325.5,25.73377777777778,3608
2015-11-25,25.86,25.94,25.75,25.89,1601201.25,25.88622222222222,2723
2015-11-27,25.9,26.01,25.78,25.96,436743.0,25.93466666666667,1420
2015-11-30,26.0,26.12,25.82,26.1,1133901.0,26.00666666666667,3394
2015-12-01,26.15,26.37,25.69,26.2,1198467.0,26.09511111111111,4106
2015-12-02,26.26,26.31,25.98,26.06,1594390.5,26.13733333333333,4826
2015-12-03,26.28,26.32,25.67,25.81,1713912.75,25.95955555555555,5594
2015-12-04,25.96,26.53,25.85,26.36,1653315.75,26.38355555555555,5492
2015-12-07,26.28,26.58,26.17,26.29,1714866.75,26.28088888888889,4591
2015-12-08,26.04,26.4,25.91,26.23,2322020.25,26.204,7521
2015-12-09,26.16,26.38,25.45,25.55,1813666.5,25.78622222222222,6018
2015-12-10,25.64,25.99,25.54,25.76,1392309.0,25.81333333333333,4964
2015-12-11,25.42,25.48,25.04,25.16,2027702.25,25.21111111111111,7025
2015-12-14,25.25,25.61,24.74,25.03,1697073.75,24.98666666666667,5780
2015-12-15,25.43,25.81,25.31,25.8,1331930.25,25.69911111111111,4365
2015-12-16,26.06,26.28,25.6,26.19,1393796.25,25.99866666666667,4600
