date,open,high,low,close,volume,average,barCount
2015-10-13,80.62,81.66,80.33,81.63,1869045.0,81.397,5205
2015-10-14,81.17,81.74,80.77,80.84,1707198.0,81.09933333333333,4323
2015-10-15,80.26,80.4,78.6,78.69,4322541.0,79.06866666666667,11119
2015-10-16,78.82,81.16,78.54,81.06,2540322.0,80.35533333333333,6655
2015-10-19,80.69,81.37,79.64,80.96,2051340.0,80.932,5177
2015-10-20,80.92,81.24,79.48,79.87,1925613.0,80.236,4882
2015-10-21,80.18,80.65,78.75,79.45,2155803.0,79.54833333333333,5505
2015-10-22,80.26,82.48,79.55,82.31,2155437.0,81.393,5866
2015-10-23,83.09,83.31,81.17,81.92,1350255.0,81.957,3378
2015-10-26,82.3,82.57,81.11,82.41,1562112.0,81.98166666666667,3988
2015-10-27,81.67,81.67,80.1,80.64,2408538.0,80.67666666666668,5951
2015-10-28,80.78,82.44,80.41,82.25,3162504.0,81.32366666666667,8428
2015-10-29,86.66,87.28,83.0,86.04,5523804.0,85.369,13986
2015-10-30,86.84,89.95,86.01,88.94,4245486.0,88.85033333333332,10298
2015-11-02,89.47,90.24,88.47,89.94,2303061.0,89.49166666666667,5909
2015-11-03,89.86,90.18,89.1,90.0,1709616.0,89.81366666666668,4484
2015-11-04,90.42,90.74,89.35,90.23,1916154.0,90.26966666666667,5068
2015-11-05,90.5,90.73,89.18,89.37,1990905.0,89.56333333333333,5233
2015-11-06,89.19,89.64,88.28,89.08,1233558.0,88.71833333333333,3521
2015-11-09,89.17,89.23,87.86,88.85,1096674.0,88.47933333333333,2959
2015-11-10,88.41,88.84,87.68,88.19,970212.0,88.074,2504
2015-11-11,88.29,89.21,87.59,88.71,1129557.0,88.43933333333332,2959
2015-11-12,88.14,88.42,87.11,87.36,1072197.0,87.69766666666666,2658
2015-11-13,87.43,88.32,86.51,87.54,1476087.0,87.45866666666667,3806
2015-11-16,87.54,89.17,86.76,88.97,1533390.0,88.12333333333333,3966
2015-11-17,89.11,91.06,89.0,89.91,2291622.0,90.14833333333333,5789
2015-11-18,89.48,91.0,89.4,90.87,1276692.0,90.51733333333333,3489
2015-11-19,91.0,91.67,90.73,90.94,1183893.0,91.06833333333333,3178
2015-11-20,90.87,91.98,90.67,91.43,1438689.0,91.43766666666667,3619
2015-11-23,91.43,93.15,91.43,91.81,1129956.0,92.242,3099
2015-11-24,90.85,92.84,90.47,92.11,1386165.0,91.65766666666667,3698
