date,open,high,low,close,volume,average,barCount
2015-10-13,18.87,19.49,18.71,19.12,1952763.0,19.262,14867
2015-10-14,19.54,19.71,18.99,19.15,2589117.0,19.207,17135
2015-10-15,19.14,19.44,18.98,19.37,1683395.0,19.284,11950
2015-10-16,19.34,19.47,18.87,18.94,2458031.0,19.01,16983
2015-10-19,18.81,18.81,17.87,18.1,6177586.0,18.076,31370
2015-10-20,17.61,18.55,17.61,17.85,4682824.0,17.979,29723
2015-10-21,17.85,18.05,17.64,17.69,3098008.0,17.815,21971
2015-10-22,17.8,18.59,17.57,18.46,2537023.0,18.29,18329
2015-10-23,18.67,18.97,18.55,18.72,1899788.0,18.745,13938
2015-10-26,18.72,18.72,18.2,18.27,1822564.0,18.399,13725
2015-10-27,18.21,18.45,18.07,18.3,1975455.0,18.255,15118
2015-10-28,18.3,18.75,18.06,18.66,2969893.0,18.478,20641
2015-10-29,18.51,18.7,18.43,18.56,1245581.0,18.573,9637
2015-10-30,18.69,18.74,18.43,18.47,1604936.0,18.56,12109
2015-11-02,18.48,19.41,18.31,19.33,2423195.0,19.218,17831
2015-11-03,19.14,19.41,18.42,18.61,4172908.0,18.874,25615
2015-11-04,18.8,18.8,18.07,18.43,2444307.0,18.333,17320
2015-11-05,18.35,18.75,18.14,18.38,1644385.0,18.341,12381
2015-11-06,18.18,18.55,17.84,18.35,2844883.0,18.259,18956
2015-11-09,18.35,18.41,17.61,17.73,2087026.0,17.819,14941
2015-11-10,17.72,17.96,17.09,17.1,5559678.0,17.312,28048
2015-11-11,17.26,17.3,16.61,17.23,3260422.0,16.942,18474
2015-11-12,16.92,17.21,16.7,17.05,3135926.0,17.006,19394
2015-11-13,17.1,17.43,17.02,17.25,1784542.0,17.238,12262
2015-11-16,17.19,17.49,16.94,17.4,1816408.0,17.249,12702
2015-11-17,17.36,17.53,17.08,17.27,1866801.0,17.267,13637
2015-11-18,17.47,18.1,17.11,18.02,2851543.0,17.923,15584
2015-11-19,17.78,18.21,17.38,17.87,1319040.0,17.964,9890
2015-11-20,17.98,18.05,17.5,17.66,1697308.0,17.677,11965
2015-11-23,17.63,17.94,17.36,17.38,1290782.0,17.636,9496
2015-11-24,17.31,17.99,17.31,17.81,1967844.0,17.782,14254
2015-11-25,17.81,17.88,17.36,17.38,1670865.0,17.54,11215
2015-11-27,17.24,17.56,17.22,17.5,718374.0,17.43,5488
2015-11-30,17.52,17.71,17.1,17.39,2516331.0,17.471,15922
2015-12-01,17.41,17.57,17.28,17.52,1735548.0,17.469,11785
2015-12-02,17.38,17.5,17.17,17.23,1449389.0,17.33,11165
2015-12-03,17.35,17.37,16.76,16.93,2183750.0,16.99,14737
2015-12-04,17.0,17.24,16.76,17.09,2566455.0,17.041,14401
2015-12-07,16.93,16.97,16.38,16.69,2472703.0,16.624,13547
