date,open,high,low,close,volume,average,barCount
2015-10-13,41.01,41.52,41.01,41.24,3886139.0,41.295,21996
2015-10-14,41.14,41.26,40.29,40.45,3115721.0,40.656,18482
2015-10-15,40.59,40.87,40.42,40.79,2382003.0,40.673,15634
2015-10-16,40.88,41.46,40.81,41.43,2632257.0,41.188,15758
2015-10-19,41.29,41.46,41.11,41.42,2111776.0,41.343,13307
2015-10-20,41.36,41.53,41.04,41.09,2534920.0,41.231,13855
2015-10-21,41.18,41.87,41.0,41.54,3171688.0,41.646,19472
2015-10-22,41.72,42.03,41.66,41.71,3024254.0,41.827,17610
2015-10-23,41.83,41.94,41.51,41.76,2730384.0,41.692,14447
2015-10-26,41.79,41.8,41.47,41.49,2275807.0,41.653,14011
2015-10-27,41.18,41.66,41.15,41.63,2589097.0,41.496,15958
2015-10-28,41.62,41.86,41.14,41.57,2394237.0,41.455,15306
2015-10-29,41.47,41.95,41.36,41.79,2588216.0,41.717,15773
2015-10-30,41.65,41.86,41.25,41.25,3777425.0,41.514,22647
2015-11-02,40.98,41.21,40.2,41.04,5480917.0,40.788,31260
2015-11-03,40.88,41.01,40.55,40.96,3335011.0,40.821,21241
2015-11-04,41.24,41.47,40.64,40.79,2963053.0,40.836,17989
2015-11-05,40.79,41.16,40.67,41.06,2036563.0,40.932,13116
2015-11-06,40.81,41.01,40.65,40.93,2284454.0,40.825,15105
2015-11-09,40.77,40.92,40.13,40.47,3604620.0,40.384,22935
2015-11-10,40.4,40.72,40.3,40.53,2151532.0,40.489,14958
2015-11-11,40.5,40.53,40.29,40.36,3068837.0,40.386,17986
2015-11-12,40.18,40.37,39.9,40.22,3967952.0,40.164,25907
2015-11-13,40.13,40.26,39.69,39.97,4239585.0,39.907,23475
2015-11-16,39.97,40.62,39.87,40.59,3063785.0,40.443,18872
2015-11-17,40.6,40.93,40.34,40.48,2477753.0,40.637,16225
2015-11-18,40.47,41.21,40.41,41.15,2743814.0,40.867,16052
2015-11-19,41.41,42.0,41.26,41.4,4687362.0,41.594,23268
2015-11-20,41.58,41.69,40.87,40.92,3173303.0,41.097,17062
2015-11-23,41.02,41.51,40.99,41.4,3585532.0,41.364,22811
2015-11-24,41.19,41.55,40.99,41.32,2862394.0,41.321,18037
2015-11-25,41.32,41.74,41.31,41.5,1762774.0,41.6,12061
2015-11-27,41.52,41.63,41.29,41.55,1017391.0,41.497,6362
2015-11-30,41.52,41.62,41.09,41.1,3130219.0,41.281,20576
2015-12-01,41.34,41.41,40.98,41.04,2876376.0,41.121,19040
2015-12-02,41.05,41.23,40.92,41.01,2174267.0,41.071,14691
2015-12-03,41.07,41.3,40.38,40.51,4230886.0,40.665,23521
2015-12-04,40.65,41.44,40.65,41.1,3854894.0,41.021,24680
2015-12-07,41.13,41.33,40.8,41.07,4240823.0,41.062,26149
