date,open,high,low,close,volume,average,barCount
2015-10-13,23.67,23.89,23.25,23.3,608492.0,23.6005,1310
2015-10-14,23.38,23.65,22.76,22.89,567488.0,23.05525,1262
2015-10-15,22.85,23.48,22.83,23.45,546856.0,23.125,1260
2015-10-16,23.46,23.93,23.3,23.74,1341004.0,23.66,2562
2015-10-19,23.63,24.18,23.61,23.98,346924.0,23.9195,774
2015-10-20,23.92,24.08,23.76,23.93,283376.0,23.923,657
2015-10-21,24.11,24.2,23.57,23.97,715288.0,23.82725,1542
2015-10-22,24.02,24.02,22.82,23.27,564176.0,23.52025,1162
2015-10-23,23.44,23.99,23.3,23.88,479840.0,23.70525,1099
2015-10-26,23.85,24.07,23.72,23.9,272836.0,23.87725,631
2015-10-27,23.87,24.11,23.7,23.99,480752.0,23.92275,1074
2015-10-28,23.28,23.28,20.97,21.86,3114924.0,21.9405,5608
2015-10-29,21.56,22.18,21.5,21.84,1361428.0,21.84,2959
2015-10-30,21.87,22.15,21.79,22.05,758932.0,22.0135,1593
2015-11-02,22.08,22.86,22.05,22.61,1104092.0,22.61325,1875
2015-11-03,22.5,22.67,22.27,22.35,1295624.0,22.42825,1401
2015-11-04,22.4,22.46,22.1,22.26,435652.0,22.271,816
2015-11-05,22.26,22.49,22.01,22.23,529332.0,22.14925,999
2015-11-06,22.17,22.42,22.0,22.4,365892.0,22.18125,810
2015-11-09,22.3,22.39,21.99,22.2,491964.0,22.2055,916
2015-11-10,22.01,22.64,22.01,22.63,421076.0,22.4225,978
2015-11-11,22.72,22.72,22.25,22.27,678364.0,22.4485,1190
2015-11-12,22.13,22.35,21.74,21.77,525776.0,22.161,991
2015-11-13,21.72,22.05,21.58,21.75,573824.0,21.7175,1067
2015-11-16,21.66,22.01,21.66,21.93,571108.0,21.94425,1177
2015-11-17,21.96,22.2,21.83,22.04,381608.0,22.07875,849
2015-11-18,22.09,22.98,22.02,22.92,823732.0,22.44325,1243
2015-11-19,22.88,23.13,22.38,22.54,395208.0,22.68975,872
2015-11-20,22.62,22.77,22.45,22.5,284444.0,22.5655,641
2015-11-23,22.52,22.98,22.26,22.83,433416.0,22.79875,933
2015-11-24,22.63,22.89,22.32,22.6,1118060.0,22.582,2120
2015-11-25,22.64,22.97,22.36,22.85,490136.0,22.7905,1000
2015-11-27,22.84,23.19,22.84,23.16,191900.0,23.075,433
2015-11-30,23.17,23.26,22.69,22.8,397532.0,22.868,874
2015-12-01,22.85,23.21,22.69,22.88,492484.0,22.89025,1088
2015-12-02,22.91,23.09,22.79,23.0,640236.0,22.96925,1372
2015-12-03,23.03,23.07,22.79,22.91,653020.0,22.90075,1475
2015-12-04,22.94,23.25,22.7,23.04,418300.0,22.979,969
2015-12-07,22.97,23.05,22.71,22.96,481316.0,22.9405,1081
2015-12-08,22.77,23.13,22.42,22.99,398884.0,22.94875,850
2015-12-09,22.89,23.04,22.52,22.6,323844.0,22.677,689
2015-12-10,22.64,23.25,22.41,22.61,340236.0,22.58925,731
2015-12-11,22.45,22.45,22.0,22.05,359444.0,22.17325,803
2015-12-14,22.02,22.49,22.0,22.27,433576.0,22.17375,912
2015-12-15,22.41,22.51,22.07,22.25,536464.0,22.2385,1214
2015-12-16,22.34,22.69,21.84,22.66,263884.0,22.5085,609
2015-12-17,22.58,22.8,22.37,22.41,400592.0,22.57725,885
2015-12-18,22.44,22.47,21.96,22.04,724216.0,22.20075,1291
2015-12-21,22.11,22.33,21.76,21.97,469196.0,21.951,1096
2015-12-22,22.01,22.28,21.72,22.25,343164.0,22.03425,745
2015-12-23,22.38,22.58,21.96,22.47,428124.0,22.3995,771
2015-12-24,22.4,22.88,22.4,22.8,326680.0,22.769,589
2015-12-28,22.76,23.11,22.53,22.91,429376.0,22.856,902
2015-12-29,23.05,23.47,22.86,22.96,578012.0,22.94375,1159
2015-12-30,22.96,23.17,22.71,22.8,477796.0,22.7935,1008
2015-12-31,22.71,22.83,22.5,22.5,533016.0,22.665,1167
2016-01-04,22.27,22.27,21.62,22.06,1061392.0,21.929,2152
2016-01-05,22.08,22.24,21.75,21.99,789268.0,21.90975,1718
2016-01-06,21.72,21.96,21.57,21.93,944796.0,21.79125,2014
2016-01-07,21.64,21.89,21.44,21.79,853168.0,21.76,1734
2016-01-08,21.91,21.91,21.3,21.44,743768.0,21.533,1589
2016-01-11,21.52,21.52,20.82,21.07,676132.0,21.06775,1371
2016-01-12,21.21,21.48,20.94,21.31,521592.0,21.153,1117
2016-01-13,21.36,21.45,20.56,20.61,618460.0,20.87,1264
2016-01-14,20.73,21.25,20.45,20.88,462360.0,20.84125,928
2016-01-15,20.48,20.98,20.3,20.83,837036.0,20.72125,1504
2016-01-19,20.82,20.94,20.37,20.54,775564.0,20.64125,1535
2016-01-20,20.28,20.89,19.99,20.6,571232.0,20.397,1174
2016-01-21,20.42,20.99,20.33,20.66,626900.0,20.70925,1124
2016-01-22,20.88,21.52,20.72,21.47,733760.0,21.21725,1083
2016-01-25,21.2,21.38,20.59,20.67,768056.0,20.96825,1477
2016-01-26,20.66,21.05,20.43,21.0,538012.0,20.805,1111
2016-01-27,20.96,21.32,20.73,20.83,434960.0,20.98125,976
2016-01-28,21.0,21.0,20.11,20.31,584872.0,20.36525,1245
2016-01-29,20.3,20.7,20.24,20.67,659984.0,20.4805,1358
2016-02-01,20.51,21.71,20.25,20.45,983964.0,20.519,2030
2016-02-02,22.44,22.69,21.27,21.56,2032232.0,21.73425,4050
2016-02-03,21.78,21.8,20.9,21.46,1256768.0,21.22675,2487
2016-02-04,21.32,21.7,21.02,21.2,904120.0,21.242,2078
2016-02-05,21.11,21.89,20.7,21.88,2358048.0,21.25825,4637
2016-02-08,21.64,21.8,21.06,21.25,744988.0,21.3095,1636
2016-02-09,21.0,21.6,20.87,21.17,491764.0,21.26675,1065
2016-02-10,21.27,22.49,20.97,21.23,398372.0,21.45325,872
2016-02-11,20.9,22.55,20.5,20.85,470484.0,20.92,1065
2016-02-12,21.14,22.26,20.78,21.15,298336.0,21.13975,668
2016-02-16,21.39,21.99,21.0,21.86,478004.0,21.76,1057
2016-02-17,21.97,22.11,21.65,21.94,423300.0,21.901,845
2016-02-18,21.96,22.11,21.65,21.78,562376.0,21.81825,1167
2016-02-19,21.66,22.23,21.53,22.11,691188.0,21.93475,1168
2016-02-22,21.84,22.13,21.74,22.12,326972.0,22.02375,679
2016-02-23,22.06,22.32,21.6,21.64,493292.0,21.86475,1085
2016-02-24,21.47,22.49,21.17,21.7,476452.0,21.5155,1035
2016-02-25,21.72,21.95,21.62,21.76,292656.0,21.73625,652
2016-02-26,21.89,22.21,21.63,21.74,294896.0,21.79625,659
2016-02-29,21.69,22.03,21.43,21.46,535316.0,21.6965,1147
2016-03-01,21.55,22.5,21.34,22.5,863904.0,22.18575,1566
2016-03-02,22.4,23.38,21.91,22.61,644968.0,22.41525,1245
2016-03-03,22.53,22.87,22.53,22.75,483468.0,22.7075,994
2016-03-04,22.83,23.78,22.65,23.14,665392.0,23.014,1289
2016-03-07,22.99,23.45,22.97,23.32,680376.0,23.2595,1264
2016-03-08,23.19,23.29,22.99,23.07,636760.0,23.142,1236
2016-03-09,23.15,23.15,22.68,23.08,591176.0,22.97575,1026
2016-03-10,23.21,23.51,22.98,23.08,759892.0,23.14325,1189
2016-03-11,23.26,23.62,23.15,23.56,541828.0,23.48175,1060
2016-03-14,23.53,23.75,23.47,23.57,696932.0,23.62725,1310
2016-03-15,23.45,23.58,22.87,23.03,598932.0,23.04725,1090
2016-03-16,22.93,23.36,22.93,23.35,551652.0,23.20425,1097
2016-03-17,23.33,24.21,22.79,23.36,736928.0,23.15275,903
2016-03-18,23.24,24.0,23.18,23.68,617928.0,23.5155,833
2016-03-21,23.62,23.94,23.51,23.7,550392.0,23.66225,1162
2016-03-22,23.68,23.95,23.51,23.71,465968.0,23.68125,828
2016-03-23,23.64,23.7,23.16,23.2,444732.0,23.35075,952
2016-03-24,23.09,23.49,23.09,23.47,298340.0,23.323,611
2016-03-28,23.49,23.62,23.07,23.25,434508.0,23.284,897
2016-03-29,23.18,23.52,23.11,23.5,732544.0,23.33725,1606
2016-03-30,23.64,23.98,23.51,23.89,455136.0,23.7555,958
2016-03-31,23.96,24.08,23.46,23.63,776968.0,23.676,1531
2016-04-01,23.48,23.97,23.38,23.88,935516.0,23.772,1983
2016-04-04,23.82,23.95,23.55,23.66,981456.0,23.67825,2105
2016-04-05,23.33,23.6,23.02,23.04,845112.0,23.21025,1706
2016-04-06,23.12,23.81,23.1,23.7,810280.0,23.5705,1620
2016-04-07,23.58,23.87,23.41,23.47,501472.0,23.5925,1045
2016-04-08,23.6,23.6,23.11,23.27,460848.0,23.29225,957
2016-04-11,23.42,23.71,22.98,23.01,542684.0,23.14675,1137
2016-04-12,23.0,23.11,22.89,23.0,1014972.0,22.94375,2057
2016-04-13,23.17,23.37,22.93,23.16,1600216.0,23.1065,2992
2016-04-14,23.19,23.19,22.93,22.96,689080.0,23.00025,1454
2016-04-15,22.99,23.32,22.88,23.23,652108.0,23.11975,1270
2016-04-18,23.21,23.57,23.09,23.49,598144.0,23.34725,1170
2016-04-19,23.47,23.74,23.09,23.16,598300.0,23.19575,1144
2016-04-20,23.14,23.35,22.92,23.15,856608.0,23.17175,1578
2016-04-21,23.2,23.56,23.13,23.48,594700.0,23.37975,1218
2016-04-22,23.46,23.76,23.24,23.71,582016.0,23.53025,1144
2016-04-25,23.62,23.65,23.12,23.27,608024.0,23.33275,1268
2016-04-26,23.28,23.46,22.93,23.42,508968.0,23.20075,1060
