date,open,high,low,close,volume,average,barCount
2015-10-13,36.71,36.9,36.27,36.37,3741326.0,36.549,14023
2015-10-14,36.42,36.73,35.71,35.88,4964700.0,35.9465,15147
2015-10-15,35.93,35.99,35.27,35.87,5918322.0,35.5895,19866
2015-10-16,36.04,36.45,35.87,36.22,4199504.0,36.1435,12896
2015-10-19,36.21,36.47,36.1,36.46,3524424.0,36.311,11511
2015-10-20,36.46,36.66,36.35,36.51,3267766.0,36.555,11748
2015-10-21,36.67,36.69,36.1,36.21,3049446.0,36.3525,11101
2015-10-22,36.44,37.01,36.19,36.95,4737774.0,36.707,15985
2015-10-23,37.31,37.32,35.54,35.88,6334050.0,35.959,20846
2015-10-26,35.83,36.38,35.73,36.22,3868886.0,36.176,12670
2015-10-27,36.15,36.24,35.58,35.92,3645532.0,35.8345,11714
2015-10-28,36.02,36.72,35.92,36.62,4007466.0,36.3735,12628
2015-10-29,36.69,36.73,36.22,36.54,3187598.0,36.408,11110
2015-10-30,36.49,36.97,36.43,36.6,4147276.0,36.684,12344
2015-11-02,36.66,36.79,36.04,36.61,4214132.0,36.3805,12875
2015-11-03,36.75,37.33,36.66,37.12,4469410.0,37.1085,14672
2015-11-04,37.12,37.23,36.54,36.84,3610526.0,36.8525,12487
2015-11-05,37.06,37.24,36.57,37.16,4826090.0,36.9585,16578
2015-11-06,37.17,37.24,36.24,36.47,4185468.0,36.5325,14002
2015-11-09,36.26,36.31,35.31,35.54,5011860.0,35.538,16507
2015-11-10,35.52,35.99,35.35,35.91,5157536.0,35.78,16470
2015-11-11,35.68,35.69,34.51,34.54,7878884.0,34.7245,26680
2015-11-12,34.34,34.56,34.09,34.13,10318048.0,34.295,30181
2015-11-13,32.59,32.85,32.04,32.1,17884428.0,32.376,54876
2015-11-16,31.91,32.83,31.77,32.83,14275630.0,32.2425,42920
2015-11-17,34.84,34.95,33.31,34.09,18361694.0,34.091,58489
2015-11-18,34.21,34.31,33.66,34.17,9600152.0,33.987,29546
2015-11-19,33.88,34.33,33.79,33.85,7089384.0,34.065,22152
2015-11-20,34.15,35.13,34.15,35.08,10919956.0,34.923,31852
2015-11-23,35.08,35.49,35.08,35.3,5790778.0,35.3095,19009
2015-11-24,34.98,35.62,34.98,35.27,6733080.0,35.3465,21312
2015-11-25,35.3,36.0,35.14,35.83,6202064.0,35.735,20469
2015-11-27,35.89,36.0,35.47,35.67,2680274.0,35.7335,9303
2015-11-30,35.82,35.87,35.16,35.3,6659308.0,35.439,22362
2015-12-01,35.56,35.87,35.2,35.39,6137018.0,35.4055,20864
2015-12-02,35.41,35.7,35.25,35.37,4761294.0,35.441,16657
2015-12-03,35.41,35.5,34.63,34.92,6270120.0,34.966,22019
2015-12-04,35.12,35.53,34.95,35.49,7421582.0,35.326,24638
2015-12-07,35.34,35.56,35.14,35.49,3797610.0,35.406,12833
2015-12-08,34.99,35.77,34.99,35.67,6522036.0,35.536,19170
2015-12-09,35.33,36.1,34.78,35.41,6017060.0,35.626,22658
2015-12-10,35.52,36.11,35.42,35.74,5672486.0,35.791,20886
2015-12-11,35.3,35.57,35.09,35.28,5287350.0,35.3265,20133
2015-12-14,35.35,35.78,35.21,35.47,5188330.0,35.414,20300
2015-12-15,35.8,35.99,35.21,35.23,4597986.0,35.4215,17515
2015-12-16,35.63,35.99,35.31,35.93,4797038.0,35.698,16655
2015-12-17,36.23,36.37,35.32,35.33,5252244.0,35.5335,18928
2015-12-18,35.3,35.31,34.65,34.66,6547498.0,34.8295,20871
2015-12-21,34.84,35.08,34.55,34.81,4245790.0,34.72,15716
2015-12-22,35.04,35.41,34.86,35.2,5129130.0,35.1655,15236
2015-12-23,35.47,35.66,34.98,35.65,3174934.0,35.4965,11781
2015-12-24,35.49,35.65,35.31,35.45,1352854.0,35.4315,5150
2015-12-28,35.33,35.6,35.18,35.34,2829510.0,35.381,10558
2015-12-29,35.57,36.13,35.48,35.88,2956248.0,35.9585,10713
2015-12-30,35.87,35.97,35.67,35.68,2203146.0,35.784,7847
2015-12-31,35.51,35.83,35.45,35.46,2578930.0,35.6215,10170
2016-01-04,34.95,35.44,34.78,35.42,5966780.0,35.175,22266
2016-01-05,35.42,35.99,35.29,35.97,6846704.0,35.7245,23858
2016-01-06,35.34,35.7,34.81,35.05,7310604.0,35.1135,25163
