date,open,high,low,close,volume,average,barCount
2015-10-27,41.04,41.65,37.99,38.95,10662569.0,39.0316164,59136
2015-10-28,39.71,39.98,38.66,39.24,6696019.0,39.0605642,34080
2015-10-29,38.93,39.52,36.47,37.41,8029581.0,37.9126342,32644
2015-10-30,37.31,37.92,36.87,37.82,5521353.0,37.4504676,30149
2015-11-02,37.59,38.49,37.46,38.22,5173604.0,38.1032904,26870
2015-11-03,38.22,38.65,37.93,38.59,3463410.0,38.3288836,22448
2015-11-04,38.71,39.09,37.93,38.79,3393046.0,38.6592878,22455
2015-11-05,38.89,41.12,38.22,39.37,6254044.0,39.453855,37098
2015-11-06,38.95,39.27,38.51,39.04,3103316.0,38.9837028,21845
2015-11-09,39.55,39.55,38.01,38.49,2416411.0,38.5135506,15880
2015-11-10,38.09,38.17,36.68,36.96,4998184.0,37.192932,29941
2015-11-11,37.32,37.71,37.22,37.33,3133631.0,37.4005576,21352
2015-11-12,37.29,38.13,36.89,37.9,4134354.0,37.7678952,26140
2015-11-13,37.53,38.99,37.53,38.65,5236709.0,38.5574714,31632
2015-11-16,38.16,38.18,37.3,37.8,3496066.0,37.736951,24117
2015-11-17,37.87,38.38,37.73,38.08,2423074.0,38.106285,15973
2015-11-18,37.54,37.71,36.39,37.25,5405336.0,37.1020958,30078
2015-11-19,37.4,37.85,37.18,37.66,2961890.0,37.6181652,17136
2015-11-20,37.92,38.53,37.63,38.37,2932298.0,38.1631824,18277
2015-11-23,38.4,38.43,37.84,37.96,2744888.0,38.1402238,19161
2015-11-24,37.94,38.62,37.7,38.32,2757321.0,38.3049268,16266
2015-11-25,38.03,38.36,36.84,36.9,3396108.0,37.2907556,17680
2015-11-27,37.03,37.04,36.45,36.82,1264173.0,36.8076268,8481
2015-11-30,36.64,36.73,35.42,35.44,6286405.0,35.8194088,30574
2015-12-01,35.8,36.34,34.97,36.11,4681032.0,35.8234016,25898
2015-12-02,36.22,36.33,35.64,35.66,2486884.0,35.8363782,16331
2015-12-03,35.47,35.81,34.18,34.5,4707287.0,34.8002466,27319
2015-12-04,34.44,35.47,34.41,35.39,4008283.0,35.0258398,23186
2015-12-07,35.16,37.43,35.16,36.52,4494147.0,36.3015394,30184
2015-12-08,36.59,37.15,36.24,36.82,4158296.0,36.8645242,24730
2015-12-09,36.36,36.82,35.67,36.01,2878681.0,36.1158742,18823
2015-12-10,36.18,36.63,35.99,36.27,2037377.0,36.3414674,14721
2015-12-11,35.9,36.4,35.73,35.94,3631675.0,36.010065,20893
2015-12-14,35.94,36.61,35.78,36.45,3881566.0,36.314516,25058
2015-12-15,36.51,38.29,36.49,38.09,4623420.0,37.7599096,32256
2015-12-16,38.25,39.18,38.05,39.06,3676513.0,38.7111942,27037
2015-12-17,39.11,39.69,38.93,39.13,3823757.0,39.3500422,24800
2015-12-18,38.93,39.21,37.56,37.82,6190880.0,38.0693516,35152
2015-12-21,37.97,38.91,37.73,38.91,2443044.0,38.3428584,17457
2015-12-22,38.92,39.34,38.29,39.19,1972000.0,39.0316164,15540
2015-12-23,39.42,40.28,39.24,40.06,2239729.0,39.9509586,15442
2015-12-24,40.13,40.18,39.58,39.6,773101.0,39.77827,5758
2015-12-28,39.49,39.76,39.28,39.71,1054856.0,39.5157434,8212
2015-12-29,39.83,40.15,39.53,40.05,1439861.0,39.9419748,9908
2015-12-30,39.98,39.98,39.45,39.67,2398564.0,39.7423348,12536
2015-12-31,39.46,39.63,38.66,39.05,2819037.0,39.0815264,18298
2016-01-04,38.79,38.95,38.39,38.88,3712745.0,38.6682716,24490
2016-01-05,38.83,40.43,38.69,40.15,4894824.0,39.9349874,30195
2016-01-06,39.49,40.31,39.26,39.98,6366239.0,39.8152034,36036
2016-01-07,39.31,40.61,39.2,40.44,7198717.0,39.9619388,40299
2016-01-08,40.34,41.16,39.71,39.81,3001594.0,40.2454276,21582
2016-01-11,39.89,39.91,39.1,39.61,3423688.0,39.5606624,24129
2016-01-12,39.76,40.05,39.31,39.99,2845843.0,39.7393402,19089
2016-01-13,40.09,40.38,38.76,38.78,2911853.0,39.3849792,19584
2016-01-14,38.67,39.65,37.92,39.32,3058149.0,38.7421384,22300
