date,open,high,low,close,volume,average,barCount
2015-10-13,17.18,17.54,17.06,17.12,819028.0,17.295,6138
2015-10-14,17.15,17.83,17.08,17.77,1935340.0,17.68,12755
2015-10-15,17.7,17.84,17.37,17.71,1938199.0,17.581,13653
2015-10-16,17.75,17.75,17.37,17.7,1253818.0,17.569,8866
2015-10-19,17.57,18.0,17.51,17.99,1707868.0,17.926,11136
2015-10-20,17.88,18.22,17.79,18.04,2073421.0,18.012,11880
2015-10-21,18.17,18.25,18.03,18.11,1767725.0,18.13,12946
2015-10-22,18.89,18.89,18.02,18.44,1767886.0,18.41,12354
2015-10-23,18.57,18.69,18.25,18.52,1340234.0,18.458,10246
2015-10-26,18.51,18.69,18.39,18.44,1321834.0,18.541,9226
2015-10-27,18.3,18.58,18.18,18.39,1224573.0,18.385,9531
2015-10-28,18.44,18.95,18.44,18.9,1596517.0,18.758,12306
2015-10-29,18.77,19.05,18.56,18.74,1805995.0,18.748,12885
2015-10-30,20.98,23.35,20.5,22.75,7393513.0,22.575,47204
2015-11-02,22.59,23.6,22.29,23.4,3115909.0,23.111,21597
2015-11-03,23.4,23.74,22.89,23.09,2591959.0,23.42,17149
2015-11-04,23.18,23.47,22.99,23.11,1465079.0,23.171,11021
2015-11-05,23.11,23.28,22.01,22.68,961758.0,22.809,7374
2015-11-06,22.58,22.78,22.21,22.71,1286578.0,22.616,9258
2015-11-09,22.56,22.69,21.97,22.09,1688853.0,22.153,11819
2015-11-10,22.0,22.62,21.85,22.58,1514388.0,22.355,10410
2015-11-11,22.66,23.24,22.43,22.46,1475466.0,22.783,10419
2015-11-12,22.16,22.41,21.52,21.54,1930993.0,21.832,12850
2015-11-13,21.42,21.9,21.06,21.15,1715158.0,21.224,12596
2015-11-16,21.09,21.7,21.09,21.64,885530.0,21.515,6995
2015-11-17,21.65,21.98,21.37,21.59,2540663.0,21.641,6968
2015-11-18,21.66,22.12,21.16,22.12,1229907.0,21.957,8216
2015-11-19,22.08,22.29,21.79,22.17,874998.0,22.139,6905
2015-11-20,22.82,23.06,22.65,22.73,1344538.0,22.802,9623
2015-11-23,22.86,22.88,22.37,22.58,882858.0,22.614,6425
2015-11-24,22.41,22.68,22.11,22.58,1221201.0,22.534,8154
2015-11-25,22.57,23.02,22.48,22.87,893756.0,22.815,5744
2015-11-27,22.85,22.94,22.61,22.7,275580.0,22.727,2195
2015-11-30,22.85,23.14,22.61,22.9,1232222.0,22.924,8829
2015-12-01,22.94,22.95,22.39,22.78,1583225.0,22.654,11417
2015-12-02,23.05,23.86,22.91,23.44,2606279.0,23.546,16809
2015-12-03,23.61,23.64,22.86,22.86,2014575.0,23.194,12435
2015-12-04,22.82,22.93,22.52,22.54,1219585.0,22.683,8817
2015-12-07,22.43,22.47,22.0,22.23,1168070.0,22.203,8857
2015-12-08,22.05,22.15,21.79,21.95,1001818.0,21.959,8059
2015-12-09,21.83,22.58,21.65,21.72,933866.0,21.875,7265
2015-12-10,22.3,22.59,22.01,22.43,1632466.0,22.357,11111
2015-12-11,22.32,22.4,21.57,21.94,1347141.0,21.886,9835
2015-12-14,21.91,22.02,21.52,21.81,1365285.0,21.758,10223
2015-12-15,21.97,22.13,21.63,21.8,1521594.0,21.755,10798
2015-12-16,21.88,22.41,21.79,22.38,1417953.0,22.117,9345
2015-12-17,22.41,22.42,21.92,21.93,1074261.0,22.017,8423
2015-12-18,21.94,22.19,21.41,21.54,2145333.0,21.63,13038
2015-12-21,21.68,21.8,21.27,21.5,885743.0,21.417,6757
2015-12-22,21.63,21.97,21.07,21.89,729733.0,21.752,5947
2015-12-23,21.99,22.43,21.93,22.28,597896.0,22.231,4781
2015-12-24,22.22,22.38,22.02,22.19,398039.0,22.164,3345
2015-12-28,22.05,22.17,21.6,21.9,749784.0,21.833,5849
2015-12-29,22.04,22.4,21.81,22.06,606392.0,22.022,4545
2015-12-30,22.04,22.1,21.68,21.71,569884.0,21.828,4629
2015-12-31,21.58,21.96,21.45,21.45,602224.0,21.616,4514
2016-01-04,21.16,21.6,20.96,21.59,1365817.0,21.344,9691
2016-01-05,21.59,21.65,20.98,21.23,1079586.0,21.244,8225
2016-01-06,20.95,21.05,20.57,20.78,1641622.0,20.771,10169
2016-01-07,20.39,20.48,19.66,19.79,1974850.0,19.955,14482
2016-01-08,19.88,20.07,19.42,19.43,1123757.0,19.66,8025
2016-01-11,19.47,19.76,19.29,19.64,1241181.0,19.539,9302
2016-01-12,19.84,20.04,19.37,19.64,732812.0,19.548,5837
2016-01-13,19.69,19.82,19.43,19.51,1381578.0,19.524,9591
2016-01-14,19.55,20.05,19.31,19.9,1056193.0,19.751,8660
2016-01-15,19.35,19.69,19.17,19.49,3719124.0,19.485,10780
2016-01-19,19.7,19.99,19.31,19.56,2814399.0,19.551,15779
2016-01-20,19.27,19.52,18.36,18.92,1729375.0,18.866,12492
2016-01-21,19.03,19.45,18.63,18.89,801530.0,18.99,5743
2016-01-22,19.2,19.61,18.98,19.43,1278990.0,19.277,8728
