date,open,high,low,close,volume,average,barCount
2015-10-13,17.15,17.33,16.84,16.89,5842085.0,17.024,8537
2015-10-14,16.92,17.0,16.7,16.83,3914700.0,16.8424,5462
2015-10-15,16.95,17.03,16.71,16.94,5604790.0,16.8896,6618
2015-10-16,16.94,17.06,16.88,17.04,3404910.0,16.99,4039
2015-10-19,17.0,17.4,16.96,17.39,6061885.0,17.2454,9895
2015-10-20,17.37,17.45,17.18,17.29,3447500.0,17.2994,5400
2015-10-21,17.4,17.48,17.16,17.25,6748140.0,17.3008,9209
2015-10-22,18.03,18.22,17.39,18.2,13758895.0,17.8744,20131
2015-10-23,18.4,18.45,17.75,18.09,5061090.0,17.9954,8317
2015-10-26,18.18,18.36,18.05,18.34,4244870.0,18.2278,6778
2015-10-27,18.24,18.27,17.91,18.13,3003125.0,18.0622,4910
2015-10-28,18.15,18.33,18.0,18.32,2639460.0,18.2112,4269
2015-10-29,18.27,18.45,18.06,18.23,2467505.0,18.1802,3909
2015-10-30,18.31,18.6,18.23,18.48,3186890.0,18.4868,4984
2015-11-02,18.48,18.55,18.24,18.42,3056180.0,18.3794,4559
2015-11-03,18.44,18.57,18.25,18.5,3610140.0,18.4616,5572
2015-11-04,18.42,18.58,18.26,18.55,4408440.0,18.4506,6202
2015-11-05,18.6,18.8,18.55,18.73,2840365.0,18.7202,4626
2015-11-06,18.66,18.75,18.54,18.68,2577895.0,18.645,3828
2015-11-09,18.65,18.67,18.26,18.41,1657565.0,18.3774,2699
2015-11-10,18.35,18.46,18.15,18.39,2702750.0,18.328,4218
2015-11-11,18.49,18.49,18.21,18.28,1519480.0,18.334,2677
2015-11-12,18.18,18.33,17.95,17.95,2509915.0,18.105,4250
2015-11-13,17.89,17.9,17.01,17.04,6910320.0,17.2556,10544
2015-11-16,17.05,17.4,16.97,17.39,2836715.0,17.194,4611
2015-11-17,17.44,17.47,17.16,17.23,3600835.0,17.3126,5606
2015-11-18,17.36,17.67,17.22,17.63,3684980.0,17.5168,5983
2015-11-19,17.55,18.05,17.55,17.85,3877740.0,17.8926,5813
2015-11-20,17.95,18.19,17.88,18.16,3589440.0,18.0614,5518
2015-11-23,18.2,18.5,18.14,18.29,2914895.0,18.3376,4844
2015-11-24,18.2,18.29,18.08,18.2,2566705.0,18.1958,4495
2015-11-25,18.31,18.38,18.15,18.23,1604375.0,18.2654,2661
2015-11-27,18.28,18.33,18.08,18.28,1029960.0,18.2206,1485
2015-11-30,18.26,18.27,17.79,17.87,2350435.0,17.9304,3967
2015-12-01,17.96,18.15,17.81,17.93,2105625.0,17.9332,3461
2015-12-02,18.0,18.05,17.85,17.88,1379330.0,17.9234,2430
2015-12-03,17.72,17.78,17.06,17.13,5307925.0,17.2902,7966
2015-12-04,17.2,17.66,17.16,17.61,5284055.0,17.4988,7456
2015-12-07,17.64,17.66,17.4,17.59,2413145.0,17.5602,4001
2015-12-08,17.85,18.24,17.49,18.01,5066740.0,17.997,7840
2015-12-09,17.83,18.28,17.62,17.78,3958015.0,17.874,6535
2015-12-10,17.71,17.91,17.46,17.77,3306925.0,17.707,5400
2015-12-11,17.56,17.84,17.49,17.58,2781480.0,17.636,4663
2015-12-14,17.65,17.82,17.44,17.64,2846340.0,17.5824,4827
2015-12-15,17.76,17.8,17.43,17.44,4449405.0,17.5688,6820
2015-12-16,17.58,17.74,17.27,17.62,4321245.0,17.4942,7191
2015-12-17,17.62,17.74,17.17,17.17,2976905.0,17.343,5005
2015-12-18,17.09,17.29,17.01,17.14,4909515.0,17.1278,6551
2015-12-21,17.17,17.24,16.8,16.95,4539800.0,16.9822,6840
2015-12-22,17.03,17.22,16.79,17.08,4030795.0,17.0006,6386
2015-12-23,17.14,17.22,16.85,17.21,2023240.0,17.125,3488
2015-12-24,17.24,17.37,17.05,17.13,839065.0,17.1476,1373
2015-12-28,17.01,17.2,16.96,17.2,2019385.0,17.1058,2876
2015-12-29,17.29,17.6,16.95,17.44,2362525.0,17.4424,3595
2015-12-30,17.44,17.5,17.26,17.26,1355095.0,17.3478,2105
2015-12-31,17.2,17.35,17.1,17.1,1577585.0,17.2138,2615
2016-01-04,16.7,16.9,16.55,16.75,6683845.0,16.7182,9989
2016-01-05,16.76,17.02,16.63,16.74,4203680.0,16.7678,6644
2016-01-06,16.5,16.61,16.35,16.51,4073530.0,16.47,6787
2016-01-07,16.22,16.75,16.14,16.5,6100315.0,16.5466,9052
2016-01-08,16.48,16.71,16.34,16.37,5347390.0,16.5242,7704
2016-01-11,16.5,16.64,16.25,16.53,4829175.0,16.4446,7519
2016-01-12,16.59,16.95,16.53,16.93,3694385.0,16.786,6287
2016-01-13,17.03,17.07,16.22,16.31,16204685.0,16.548,23729
2016-01-14,16.34,16.86,16.04,16.6,8886275.0,16.512,13706
2016-01-15,16.13,16.55,16.08,16.3,6756575.0,16.3064,10340
2016-01-19,16.44,16.84,16.32,16.69,6217740.0,16.6402,9361
2016-01-20,16.51,16.65,16.01,16.3,9125305.0,16.2874,13363
2016-01-21,16.39,16.93,16.3,16.66,8269260.0,16.7014,11688
2016-01-22,17.08,17.08,16.78,16.97,4072665.0,16.965,6541
2016-01-25,16.93,17.05,16.68,16.7,5419970.0,16.7936,7580
2016-01-26,16.79,17.15,16.69,17.14,5786790.0,17.0236,8987
2016-01-27,17.15,17.32,16.71,16.84,6601450.0,16.977,10855
2016-01-28,16.52,17.11,15.68,17.0,12537130.0,16.6854,18918
2016-01-29,17.12,17.71,17.09,17.66,6387415.0,17.4682,10747
2016-02-01,17.49,17.61,17.06,17.34,6088815.0,17.2768,10024
2016-02-02,17.2,17.42,17.13,17.22,3893325.0,17.222,5741
2016-02-03,17.3,17.46,16.67,16.93,6747465.0,16.8854,10548
2016-02-04,16.91,17.02,16.31,16.75,7081125.0,16.5548,10281
2016-02-05,16.68,16.84,16.11,16.16,5136255.0,16.3874,8668
2016-02-08,16.02,16.04,15.61,15.96,6209690.0,15.8192,10341
2016-02-09,15.89,16.49,15.88,16.29,6506830.0,16.2546,9611
2016-02-10,16.47,16.76,16.3,16.39,3898470.0,16.5232,6189
