date,open,high,low,close,volume,average,barCount
2016-09-21,2.88,3.04,2.78,3.01,59704980.0,2.8913,26062
2016-09-22,3.1,3.17,2.84,2.89,20550910.0,2.9946,9528
2016-09-23,2.89,2.89,2.68,2.77,10138690.0,2.752,4134
2016-09-26,2.71,2.84,2.7,2.78,2900310.0,2.7833,1050
2016-09-27,2.83,3.09,2.73,3.0,9670020.0,2.9583,3551
2016-09-28,3.07,3.34,3.0,3.34,19529480.0,3.2125,7371
2016-09-29,3.26,3.32,2.88,2.9,16014920.0,3.0702,6550
2016-09-30,2.94,3.1,2.92,2.92,9028580.0,2.9865,3757
2016-10-03,2.91,2.93,2.62,2.64,10205070.0,2.7645,3802
2016-10-04,2.64,2.73,2.36,2.38,12617630.0,2.5267,4880
2016-10-05,2.44,2.52,2.35,2.48,9117590.0,2.4637,3795
2016-10-06,2.51,2.69,2.46,2.61,8167540.0,2.588,3257
2016-10-07,2.53,2.65,2.5,2.63,4323740.0,2.5769,1613
2016-10-10,2.58,2.64,2.51,2.53,3446890.0,2.5536,1386
2016-10-11,2.51,2.59,2.35,2.55,5129870.0,2.4644,2301
2016-10-12,2.53,2.7,2.53,2.69,3062370.0,2.6422,1316
2016-10-13,2.64,2.67,2.55,2.6,2298940.0,2.6121,1104
2016-10-14,2.61,2.72,2.61,2.64,2102730.0,2.6565,798
2016-10-17,2.7,2.73,2.61,2.63,2992250.0,2.6592,975
2016-10-18,2.63,2.65,2.58,2.59,1600490.0,2.6088,559
2016-10-19,2.58,2.62,2.53,2.55,1028240.0,2.5788,449
2016-10-20,2.51,2.67,2.51,2.65,955010.0,2.6036,575
2016-10-21,2.65,2.75,2.62,2.75,2210080.0,2.6869,1108
2016-10-24,2.74,2.87,2.71,2.85,2496900.0,2.8181,1400
2016-10-25,2.86,2.95,2.86,2.88,2582470.0,2.9035,1489
2016-10-26,2.9,2.91,2.79,2.82,1711390.0,2.8428,1047
2016-10-27,2.82,2.86,2.54,2.55,3489410.0,2.6985,1646
2016-10-28,2.58,2.68,2.55,2.56,1470140.0,2.6052,692
2016-10-31,2.6,2.6,2.42,2.52,1509010.0,2.4886,540
2016-11-01,2.54,2.57,2.5,2.52,677850.0,2.5251,360
2016-11-02,2.5,2.6,2.42,2.44,1653350.0,2.4955,930
2016-11-03,2.43,2.45,2.2,2.29,4056490.0,2.3398,1248
2016-11-04,2.29,2.42,2.28,2.39,1351890.0,2.3533,827
2016-11-07,2.42,2.43,2.23,2.29,1915280.0,2.3468,999
2016-11-08,2.43,2.43,2.26,2.28,5613510.0,2.2919,2109
2016-11-09,2.22,2.35,2.2,2.3,5324980.0,2.3071,1773
2016-11-10,2.39,2.43,2.32,2.34,5051020.0,2.3682,2270
2016-11-11,2.5,2.65,2.4,2.55,10522120.0,2.5501,3960
2016-11-14,2.56,2.74,2.55,2.58,6671210.0,2.6061,3430
2016-11-15,2.58,2.61,2.5,2.53,5013350.0,2.5536,2259
2016-11-16,2.5,2.6,2.48,2.54,4464000.0,2.5402,1989
2016-11-17,2.56,2.65,2.54,2.59,5829320.0,2.5818,3042
2016-11-18,2.6,2.93,2.6,2.91,7832960.0,2.7847,3134
2016-11-21,2.89,3.05,2.8,2.93,7042520.0,2.9563,3141
2016-11-22,2.94,2.96,2.83,2.87,3668560.0,2.8737,1742
2016-11-23,2.87,3.05,2.82,3.02,5071540.0,2.9579,2030
2016-11-25,3.0,3.05,2.87,2.91,2448580.0,2.9713,1148
2016-11-28,2.93,2.93,2.57,2.67,8628770.0,2.74,3349
2016-11-29,2.67,2.78,2.55,2.71,4253110.0,2.679,2256
2016-11-30,2.69,2.78,2.58,2.66,2920910.0,2.6509,1551
2016-12-01,2.64,2.7,2.55,2.61,4421220.0,2.5911,2231
2016-12-02,2.59,2.65,2.56,2.62,2848390.0,2.6113,1716
2016-12-05,2.62,2.72,2.61,2.66,2623080.0,2.6629,1391
2016-12-06,2.66,2.84,2.61,2.81,4779050.0,2.7444,2648
2016-12-07,2.81,2.85,2.75,2.76,1936630.0,2.7904,1192
2016-12-08,2.75,2.86,2.7,2.74,1493770.0,2.7751,943
2016-12-09,2.76,2.84,2.71,2.75,3426820.0,2.7833,2030
2016-12-12,2.86,2.96,2.81,2.94,4591940.0,2.8904,2287
2016-12-13,2.94,3.04,2.87,2.93,5222310.0,2.9804,2589
2016-12-14,2.91,2.96,2.79,2.8,4647260.0,2.8454,3190
2016-12-15,2.81,2.97,2.8,2.95,3943040.0,2.8906,2521
2016-12-16,2.97,3.0,2.86,2.92,3442400.0,2.9376,2379
2016-12-19,2.94,2.99,2.88,2.92,2890070.0,2.9419,1836
2016-12-20,2.94,3.14,2.89,3.11,4962260.0,3.068,2040
2016-12-21,3.12,3.12,2.98,3.04,2990070.0,3.028,1671
2016-12-22,3.02,3.09,2.95,3.03,2436610.0,3.0113,1434
2016-12-23,3.05,3.07,2.96,3.02,914590.0,2.9917,631
2016-12-27,3.05,3.06,2.96,2.99,1495540.0,2.993,1022
2016-12-28,2.99,3.02,2.84,2.85,2140280.0,2.9176,957
2016-12-29,2.86,2.91,2.81,2.84,1781330.0,2.8526,1060
2016-12-30,2.84,2.87,2.69,2.77,2616740.0,2.7558,1409
2017-01-03,2.81,2.88,2.65,2.69,3094700.0,2.7108,1991
2017-01-04,2.7,2.86,2.64,2.71,3936240.0,2.729,2498
2017-01-05,2.69,2.77,2.65,2.75,1415880.0,2.7151,1028
2017-01-06,2.75,2.79,2.69,2.77,2113570.0,2.7428,1429
2017-01-09,2.76,2.89,2.73,2.84,2247530.0,2.8276,1336
2017-01-10,2.84,2.9,2.78,2.89,1834520.0,2.8545,1026
2017-01-11,2.88,3.01,2.83,2.98,2250580.0,2.9222,1585
2017-01-12,2.96,2.97,2.85,2.94,1311250.0,2.9315,783
