date,open,high,low,close,volume,average,barCount
2015-10-13,40.8,41.08,40.54,40.68,1328221.0,40.706,7658
2015-10-14,40.56,40.9,39.96,40.08,1435422.0,40.339,10763
2015-10-15,40.32,40.39,39.46,39.85,2280479.0,39.845,14216
2015-10-16,40.03,40.12,38.68,39.09,2758422.0,39.03,17957
2015-10-19,38.82,38.96,38.34,38.51,2510767.0,38.504,15549
2015-10-20,38.41,39.07,38.18,38.8,4806163.0,38.752,16281
2015-10-21,39.08,39.15,38.5,38.59,2572119.0,38.769,15306
2015-10-22,38.76,39.64,38.62,39.17,3374437.0,39.158,16303
2015-10-23,39.4,39.67,38.77,39.03,2983382.0,39.168,16347
2015-10-26,38.98,39.15,38.31,38.82,3223806.0,38.599,22255
2015-10-27,40.5,40.77,39.79,40.43,4534528.0,40.345,25764
2015-10-28,40.45,42.02,40.37,41.98,3865452.0,41.451,24405
2015-10-29,41.6,42.06,41.03,41.83,2042119.0,41.688,14325
2015-10-30,42.04,42.67,41.35,42.17,2100569.0,42.354,14599
2015-11-02,42.37,42.92,42.17,42.86,1115578.0,42.625,7535
2015-11-03,42.68,42.83,42.02,42.05,1487373.0,42.266,9175
2015-11-04,42.15,42.41,41.76,41.86,1203259.0,41.993,8665
2015-11-05,41.86,42.47,41.59,41.97,1104510.0,41.913,7983
2015-11-06,41.87,42.21,41.48,41.98,945621.0,41.807,6391
2015-11-09,41.81,41.83,40.94,41.21,1268223.0,41.204,8528
2015-11-10,41.14,41.25,40.44,41.1,1871319.0,40.846,9531
2015-11-11,41.21,41.4,40.92,41.18,736154.0,41.133,5539
2015-11-12,40.71,41.35,40.67,40.9,1216646.0,40.966,9056
2015-11-13,40.83,41.25,40.72,41.01,1536265.0,40.974,11022
2015-11-16,40.93,42.47,40.93,42.44,2567875.0,42.002,13338
2015-11-17,42.68,43.11,41.71,41.79,2463393.0,42.378,15342
2015-11-18,41.85,42.64,41.81,42.59,1078266.0,42.25,7940
2015-11-19,42.82,43.34,42.64,43.32,2331340.0,43.063,12911
2015-11-20,43.46,43.83,43.37,43.62,2714641.0,43.609,16399
2015-11-23,43.44,43.93,43.29,43.41,1691238.0,43.451,7951
2015-11-24,43.1,43.52,43.1,43.18,1010709.0,43.29,6632
2015-11-25,43.21,43.49,43.07,43.33,658747.0,43.273,4480
2015-11-27,43.29,43.37,43.0,43.24,269843.0,43.206,1946
2015-11-30,43.15,43.36,42.62,42.67,908854.0,42.898,6512
2015-12-01,42.82,43.3,42.61,42.72,918128.0,42.759,6894
2015-12-02,42.63,43.24,41.66,41.74,1138205.0,42.048,7713
2015-12-03,41.86,41.97,40.92,41.17,1005572.0,41.33,7038
2015-12-04,41.25,42.17,41.07,42.08,1173546.0,41.851,7758
2015-12-07,41.93,42.07,41.73,41.9,805457.0,41.884,6182
2015-12-08,41.55,41.81,40.98,41.18,1131942.0,41.323,7350
2015-12-09,41.22,42.4,40.96,41.47,1423407.0,41.638,9249
2015-12-10,41.55,41.9,41.33,41.6,977507.0,41.695,6662
2015-12-11,40.92,41.34,40.78,40.86,1342048.0,41.032,8776
2015-12-14,40.82,41.34,40.45,41.25,2145371.0,40.996,13387
2015-12-15,41.59,41.85,41.25,41.37,1198748.0,41.454,8360
2015-12-16,42.28,42.8,41.72,42.61,1255927.0,42.254,7681
2015-12-17,42.6,42.61,41.42,41.42,1154601.0,41.9,7625
2015-12-18,41.08,41.35,40.93,41.01,1499367.0,41.116,8475
2015-12-21,41.24,41.92,41.03,41.31,1480538.0,41.389,7509
2015-12-22,41.63,42.19,41.34,42.07,769820.0,41.816,4655
2015-12-23,42.33,42.84,42.1,42.78,1177312.0,42.471,6432
2015-12-24,42.66,42.81,42.55,42.69,383496.0,42.71,2335
2015-12-28,42.59,42.67,42.26,42.56,898861.0,42.48,5865
2015-12-29,42.81,43.31,42.58,42.98,1031337.0,43.034,6190
2015-12-30,42.83,43.08,42.01,42.45,1005098.0,42.677,6505
2015-12-31,42.31,42.38,41.89,42.01,751906.0,42.144,4716
2016-01-04,41.34,41.52,40.79,41.5,1336415.0,41.191,8978
2016-01-05,41.5,41.74,41.02,41.6,1177401.0,41.412,8335
2016-01-06,40.92,41.03,39.94,40.35,2003474.0,40.468,10250
2016-01-07,39.38,40.14,39.32,39.52,1900967.0,39.693,11876
2016-01-08,39.68,39.94,38.99,39.07,2988670.0,39.525,18094
2016-01-11,39.19,39.26,38.5,38.89,1844668.0,38.876,12384
2016-01-12,39.25,39.3,38.5,39.08,2223772.0,38.847,15084
2016-01-13,39.29,39.34,37.9,37.95,1427620.0,38.448,10209
2016-01-14,38.0,38.4,36.99,37.96,1761813.0,37.788,12166
2016-01-15,36.92,37.49,36.88,37.35,2736362.0,37.155,14109
2016-01-19,37.88,37.88,36.6,36.8,2270645.0,36.96,15247
2016-01-20,36.34,36.56,34.72,36.36,4156104.0,35.64,24117
2016-01-21,36.49,37.05,36.22,36.51,1327403.0,36.614,9681
2016-01-22,37.0,37.46,36.77,37.45,1502848.0,37.17,10174
2016-01-25,37.4,37.48,36.75,36.83,1968993.0,37.02,13100
2016-01-26,36.98,37.81,36.88,37.73,2077399.0,37.483,13851
2016-01-27,33.82,35.4,32.47,32.69,9836967.0,33.948,50234
2016-01-28,32.82,34.2,32.43,33.59,5329429.0,33.621,33934
2016-01-29,33.6,34.64,33.6,34.22,3485695.0,34.244,23281
2016-02-01,33.87,33.94,33.06,33.19,3512553.0,33.412,22146
2016-02-02,32.7,32.79,31.52,31.76,4445535.0,32.038,27335
2016-02-03,32.1,32.49,30.94,32.28,3531548.0,31.74,22940
2016-02-04,32.3,33.24,32.18,32.3,2586240.0,32.606,16039
2016-02-05,32.18,32.68,31.9,32.3,2144091.0,32.268,13321
2016-02-08,31.84,32.65,31.68,32.48,3368586.0,32.12,20540
2016-02-09,31.9,32.82,31.63,32.03,2164296.0,32.213,14763
2016-02-10,32.06,32.71,31.91,32.0,2101544.0,32.272,14388
2016-02-11,31.72,32.14,30.68,31.11,2900183.0,31.313,20334
2016-02-12,31.32,32.2,31.04,32.08,1935775.0,31.855,14510
2016-02-16,32.56,32.97,32.17,32.84,1334993.0,32.722,9756
2016-02-17,33.25,33.66,33.0,33.3,1754374.0,33.246,10028
2016-02-18,33.18,33.94,32.75,33.75,2698504.0,33.667,16981
2016-02-19,33.61,33.71,33.2,33.28,1499329.0,33.355,6722
2016-02-22,33.91,34.26,33.64,34.16,1418012.0,34.022,8735
2016-02-23,33.87,34.15,33.6,33.89,1484341.0,33.91,8635
2016-02-24,33.36,34.02,33.12,34.0,1231906.0,33.773,8396
2016-02-25,34.03,34.54,33.92,34.51,1240615.0,34.343,8686
2016-02-26,34.69,34.96,34.39,34.55,2610941.0,34.575,12434
2016-02-29,34.65,34.75,34.15,34.15,1316235.0,34.44,7897
2016-03-01,34.58,34.85,34.26,34.5,3403312.0,34.473,16277
2016-03-02,34.49,34.98,34.07,34.17,2688408.0,34.329,15741
2016-03-03,34.17,34.24,33.62,33.64,3425400.0,33.783,15888
2016-03-04,32.85,33.5,32.73,33.0,7508252.0,33.082,36650
2016-03-07,32.93,33.54,32.82,32.92,3522217.0,33.065,21315
2016-03-08,32.59,32.84,32.05,32.51,1929998.0,32.498,13084
2016-03-09,32.67,33.46,32.55,33.16,2612031.0,33.141,16753
2016-03-10,33.18,33.31,32.79,32.96,2205563.0,32.929,15674
2016-03-11,33.03,33.98,33.0,33.9,1923222.0,33.747,12243
2016-03-14,33.66,34.07,33.61,33.85,1414884.0,33.891,8805
2016-03-15,33.4,33.65,33.13,33.51,1229072.0,33.473,8214
2016-03-16,33.44,34.34,33.39,34.22,1591278.0,34.055,11069
2016-03-17,34.3,35.14,34.15,34.97,1870455.0,34.838,12020
2016-03-18,35.15,36.2,35.15,36.17,3482608.0,35.898,18838
2016-03-21,35.89,36.41,35.88,36.36,2072047.0,36.179,12581
2016-03-22,36.0,36.7,35.63,36.61,2118121.0,36.482,12701
2016-03-23,36.41,36.72,36.25,36.59,2289715.0,36.562,13575
2016-03-24,36.25,36.34,35.44,36.16,3165864.0,35.9,14955
2016-03-28,36.15,36.25,35.84,36.03,2459341.0,35.949,8709
2016-03-29,35.82,36.25,35.56,36.15,2125419.0,36.023,12104
2016-03-30,36.55,36.64,35.9,36.32,1791474.0,36.145,7427
2016-03-31,36.34,36.5,35.99,36.46,1223083.0,36.303,7592
2016-04-01,36.0,36.8,36.0,36.69,1596975.0,36.548,9567
2016-04-04,36.69,36.86,35.5,36.6,2091867.0,36.383,7564
2016-04-05,36.31,36.6,36.12,36.4,2384919.0,36.354,11925
2016-04-06,36.38,37.0,36.17,36.91,1501670.0,36.662,8997
2016-04-07,36.74,37.02,36.49,36.87,1940776.0,36.763,11593
2016-04-08,37.24,37.24,36.43,36.68,1523608.0,36.681,9468
2016-04-11,36.98,37.34,36.76,36.82,1061664.0,36.967,5748
