date,open,high,low,close,volume,average,barCount
2015-10-13,25.05,25.13,24.95,25.07,19100971.118177,25.0299228,45567
2015-10-14,25.08,25.2,24.98,25.11,28649788.023317434,25.0903068,57448
2015-10-15,25.16,25.29,25.06,25.28,21039984.101748805,25.1808828,51584
2015-10-16,25.47,25.56,25.32,25.53,40324048.75463699,25.4488368,83698
2015-10-19,25.38,25.43,25.23,25.38,30265386.85744568,25.331088,69606
2015-10-20,25.35,25.55,25.29,25.47,22049648.9136195,25.45563,58240
2015-10-21,25.57,25.62,25.16,25.36,33814785.3736089,25.4209092,89606
2015-10-22,25.26,25.78,25.26,25.63,39031883.942766294,25.6209312,97254
2015-10-23,26.19,26.22,25.38,25.47,54915890.302066766,25.6986756,141121
2015-10-26,25.47,25.48,25.27,25.41,30035941.971383147,25.4012844,72495
2015-10-27,25.34,25.37,25.03,25.07,29132510.598834127,25.1152152,70149
2015-10-28,25.19,25.36,25.0,25.23,31974474.032856382,25.2148488,77254
2015-10-29,25.27,25.41,25.12,25.32,20790059.61844197,25.2873096,54667
2015-10-30,25.38,25.47,25.29,25.29,25382946.47588765,25.3786404,64562
2015-11-02,25.43,25.5,25.2,25.37,27973175.67567567,25.30467,65558
2015-11-03,25.32,25.47,25.26,25.38,20646354.001059882,25.3899624,53338
2015-11-04,25.48,25.5,25.24,25.27,19173838.102808688,25.3514676,50953
2015-11-05,25.28,25.33,25.11,25.17,18731123.476417594,25.1997528,50055
2015-11-06,25.07,25.11,24.8,25.03,25607126.391096976,24.9363276,66307
2015-11-09,24.88,24.89,24.72,24.79,22341430.842607312,24.787632,54142
2015-11-10,24.8,24.83,24.66,24.75,22687645.73396926,24.7151712,58045
2015-11-11,24.79,24.91,24.76,24.85,16156565.977742447,24.85179,44704
2015-11-12,24.79,24.8,24.63,24.67,19627038.95071542,24.7219644,51633
2015-11-13,24.64,24.79,24.39,24.39,23371848.17170111,24.5445864,59477
2015-11-16,24.42,24.95,24.32,24.94,28056523.582405932,24.723474,66685
2015-11-17,24.96,25.3,24.95,25.1,24726751.45733969,25.131066,66559
2015-11-18,25.1,25.35,24.92,25.32,26616873.343932167,25.1280468,69869
2015-11-19,25.3,25.47,25.26,25.38,20419721.78060413,25.36128,55730
2015-11-20,25.47,25.5,25.32,25.41,20011062.533121355,25.406568,45658
2015-11-23,25.41,25.42,25.23,25.26,15817126.391096978,25.293348,46155
2015-11-24,25.13,25.35,25.06,25.2,18818154.478007417,25.2095652,54611
2015-11-25,25.17,25.29,25.09,25.25,16628751.987281397,25.2148488,42203
2015-11-27,25.29,25.5,25.27,25.34,10443569.157392686,25.4246832,29499
2015-11-30,25.35,25.47,25.23,25.41,19356083.730789613,25.3778856,51653
2015-12-01,25.5,25.64,25.35,25.49,18279701.907790143,25.4563848,53475
2015-12-02,25.48,25.63,25.32,25.33,30782335.71807101,25.4850672,73398
2015-12-03,25.37,25.41,24.92,24.98,33965115.262321144,25.074456,82606
2015-12-04,25.05,25.79,25.03,25.75,41061612.34764176,25.534884,96893
2015-12-07,25.57,25.96,25.57,25.87,38740646.52888182,25.83303,91965
2015-12-08,25.63,25.74,25.38,25.55,34144618.44197138,25.565076,81888
2015-12-09,25.47,25.84,25.26,25.34,29030414.679385263,25.4843124,79112
2015-12-10,25.38,25.69,25.32,25.41,28941955.48489666,25.5484704,80992
2015-12-11,25.23,25.35,24.98,25.04,31567111.81770005,25.1106864,86818
2015-12-14,25.02,25.4,24.99,25.36,29180010.598834127,25.1997528,85047
2015-12-15,25.45,25.61,25.22,25.52,30236210.91679915,25.4646876,77156
2015-12-16,25.6,26.03,25.59,25.97,37784965.55378908,25.8488808,96384
2015-12-17,25.98,26.12,25.69,25.69,33284479.332273446,25.8677508,94324
2015-12-18,25.57,25.66,25.36,25.36,39468708.26709062,25.5416772,78913
2015-12-21,25.6,25.75,25.47,25.73,22942416.534181237,25.5945132,60796
2015-12-22,25.88,26.03,25.67,25.97,23488696.34340222,25.8526548,59183
2015-12-23,25.99,26.36,25.99,26.25,22104056.703762583,26.2277904,56704
2015-12-24,26.23,26.24,26.07,26.16,7329137.5198728135,26.1568392,20845
2015-12-28,26.13,26.33,26.12,26.24,16185038.420773713,26.2308096,44188
2015-12-29,26.37,26.41,26.26,26.37,16647796.76735559,26.3364816,40770
2015-12-30,26.37,26.38,26.18,26.22,16294299.152093269,26.259492,41023
2015-12-31,26.09,26.16,25.96,25.97,22153184.949655537,26.033052,50022
2016-01-04,25.72,25.93,25.66,25.93,34216200.31796502,25.7598144,93027
2016-01-05,25.93,26.18,25.75,26.11,34571636.195018545,26.0005956,80898
2016-01-06,25.53,25.82,25.45,25.71,31153320.08479067,25.666974,80499
2016-01-07,25.38,25.74,25.29,25.29,37808297.562268145,25.4941248,90138
2016-01-08,25.49,25.63,25.22,25.32,31705166.931637518,25.4578944,87658
2016-01-11,25.48,25.74,25.31,25.63,31296685.214626387,25.4978988,90368
2016-01-12,25.74,25.81,25.41,25.59,28669227.609962903,25.5831912,78675
2016-01-13,25.67,25.89,25.46,25.47,43030270.270270266,25.6677288,112425
2016-01-14,25.57,26.08,25.47,25.89,41100364.334923156,25.9024716,113475
2016-01-15,25.41,25.92,25.37,25.66,51610842.60731319,25.640556,136108
2016-01-19,25.82,26.12,25.75,26.05,43944768.15050344,25.9485144,113421
2016-01-20,25.77,25.93,25.23,25.59,61370977.74244832,25.576398,158059
2016-01-21,25.66,26.33,25.5,26.07,48293644.67408585,26.048148,141887
2016-01-22,26.3,26.55,26.19,26.52,39064447.535771064,26.4202644,102788
2016-01-25,26.56,26.74,26.24,26.42,35331176.47058823,26.49348,94475
2016-01-26,26.44,26.85,26.37,26.72,47644012.983571805,26.6278344,117938
2016-01-27,26.41,27.02,26.34,26.78,60205707.47217806,26.6806704,152555
2016-01-28,27.0,27.01,26.58,26.82,31179542.925278217,26.821818,93603
2016-01-29,26.95,27.22,26.93,27.22,43958774.50980392,27.1403436,101764
2016-02-01,27.2,27.47,27.08,27.31,38321240.063593,27.3328176,100996
2016-02-02,27.28,27.32,27.01,27.22,32731628.24589295,27.1780836,94926
2016-02-03,27.26,27.78,27.1,27.72,45797024.377318494,27.4573596,127674
2016-02-04,27.72,27.79,27.38,27.57,36580120.56173821,27.5441616,106338
2016-02-05,27.62,27.96,27.57,27.84,40996373.87387387,27.761544,117840
2016-02-08,27.63,28.02,27.47,28.01,47114562.79809221,27.7872072,126298
2016-02-09,27.7,27.84,27.29,27.66,42476126.126126125,27.5788824,133267
2016-02-10,27.66,27.73,27.37,27.5,32556893.216746155,27.5305752,99863
2016-02-11,27.22,27.44,27.1,27.33,52112562.2681505,27.2845104,152138
2016-02-12,27.44,27.56,27.2,27.53,29589072.602013774,27.4362252,87057
2016-02-16,27.69,27.74,27.32,27.66,28134762.851086378,27.5449164,79422
2016-02-17,27.74,27.77,27.57,27.66,30978064.387917325,27.6853092,88272
2016-02-18,27.64,27.93,27.56,27.92,25309481.98198198,27.8264568,71292
2016-02-19,27.85,27.91,27.57,27.6,27425451.775304712,27.7117272,73002
2016-02-22,27.73,27.82,27.59,27.82,23781481.18706942,27.7441836,65048
2016-02-23,27.78,27.86,27.56,27.73,21817448.330683623,27.723804,61194
2016-02-24,27.7,28.01,27.65,28.0,26389837.042925276,27.855894,71302
2016-02-25,28.0,28.31,27.97,28.21,27226189.719130892,28.2098952,75114
2016-02-26,28.3,28.31,27.97,28.03,24730198.728139903,28.0944108,67518
2016-02-29,28.02,28.22,27.89,27.89,27953593.004769474,28.0619544,69312
2016-03-01,28.0,28.22,27.97,28.22,22193740.063593004,28.1321508,64339
2016-03-02,28.09,28.45,28.01,28.45,24721731.5845257,28.2846204,67022
2016-03-03,28.45,28.77,28.3,28.67,33089128.24589295,28.5888048,79206
2016-03-04,28.61,28.79,28.53,28.63,23632898.781134073,28.6476792,63176
2016-03-07,28.53,28.83,28.39,28.78,24152396.66136725,28.7148564,57962
2016-03-08,28.66,29.0,28.57,28.75,27856053.259141494,28.7850528,71294
2016-03-09,28.77,28.92,28.55,28.67,26013369.104398515,28.6816452,73967
2016-03-10,28.73,28.99,28.68,28.92,29069107.04822469,28.844682,83137
2016-03-11,29.02,29.1,28.81,28.95,24421295.707472175,28.9480896,68295
2016-03-14,28.96,29.04,28.78,28.92,18692863.01006889,28.8907248,51081
2016-03-15,28.77,29.07,28.76,29.07,17021371.22416534,28.9986612,46498
2016-03-16,29.09,29.35,28.95,29.26,25018355.855855852,29.1511308,65551
2016-03-17,29.26,29.58,29.23,29.53,27795931.372549016,29.4734304,71088
2016-03-18,29.61,29.63,29.11,29.11,34043631.42554319,29.3670036,74106
2016-03-21,29.18,29.49,29.11,29.38,23022419.18388977,29.3473788,62827
2016-03-22,29.36,29.4,29.16,29.16,23488260.4663487,29.2832208,55408
2016-03-23,29.14,29.18,28.96,29.09,23586397.72125066,29.0884824,64855
2016-03-24,28.97,29.35,28.97,29.35,19130063.593004767,29.1835872,52696
2016-03-28,29.44,29.65,29.29,29.49,24812441.706412293,29.4953196,66470
2016-03-29,29.54,29.89,29.4,29.78,29860132.4854266,29.6855292,75267
2016-03-30,29.87,29.98,29.5,29.72,29943530.73661897,29.7179856,72386
2016-03-31,29.73,29.87,29.44,29.57,25514769.475357708,29.6025012,64549
2016-04-01,29.19,29.53,29.14,29.47,30791408.320084788,29.3707776,72670
2016-04-04,29.56,29.71,29.49,29.71,20144647.588765234,29.60703,53394
2016-04-05,29.66,29.71,29.44,29.58,26555457.07472178,29.5587228,65483
2016-04-06,29.28,29.38,29.05,29.17,23068596.979332272,29.1556596,56616
2016-04-07,28.95,29.14,28.85,29.13,26168595.654478006,29.0062092,65035
2016-04-08,29.23,29.36,28.96,29.06,20181022.787493374,29.1594336,51772
2016-04-11,29.19,29.2,28.93,28.98,17186221.515633278,29.0696124,46173
2016-04-12,29.04,29.28,28.97,29.19,20447481.452040274,29.1850968,51751
2016-04-13,29.27,29.32,28.82,28.87,26199678.060413353,28.939032,65632
2016-04-14,28.87,29.12,28.86,29.0,14910239.79862215,29.0273436,42124
2016-04-15,29.07,29.14,28.98,29.04,17036089.030206677,29.0567808,36469
2016-04-18,29.11,29.29,28.95,29.17,19429276.629570745,29.1435828,47360
2016-04-19,29.28,29.38,29.08,29.38,17291099.629040804,29.2651056,46692
2016-04-20,29.41,29.44,29.18,29.23,18849538.95071542,29.2726536,50664
2016-04-21,29.08,29.12,28.57,28.58,38273956.01483837,28.7744856,85267
2016-04-22,28.57,28.81,28.57,28.74,28646756.756756753,28.7382552,68022
