date,open,high,low,close,volume,average,barCount
2015-10-13,128.71,130.43,127.53,127.76,349866.0,128.805,2730
2015-10-14,128.14,129.24,125.8,126.29,249745.0,126.661,2213
2015-10-15,121.16,125.84,117.04,125.23,1595955.0,122.542,11480
2015-10-16,125.94,129.48,125.94,128.47,842661.0,127.632,6336
2015-10-19,128.07,129.58,127.54,129.4,335998.0,128.835,2842
2015-10-20,129.63,130.89,127.67,128.16,345866.0,128.733,2729
2015-10-21,128.88,129.05,122.93,125.47,670528.0,125.378,5325
2015-10-22,116.92,117.27,107.26,111.73,3316608.0,112.305,24203
2015-10-23,112.93,117.15,112.93,115.95,1198366.0,115.571,9439
2015-10-26,115.62,118.05,114.56,117.89,945186.0,117.097,7007
2015-10-27,117.55,119.37,114.89,116.04,1270405.0,116.705,10293
2015-10-28,113.26,121.67,110.31,120.68,1469346.0,118.383,10898
2015-10-29,120.4,122.79,119.79,122.17,900278.0,121.629,7196
2015-10-30,122.03,123.57,121.96,122.09,567467.0,122.743,4966
2015-11-02,122.27,125.75,122.27,125.14,493873.0,124.789,4246
2015-11-03,124.15,125.14,121.93,122.84,534890.0,123.229,4184
2015-11-04,123.16,125.25,122.68,125.03,471762.0,124.206,3661
2015-11-05,124.83,125.14,121.34,122.91,569082.0,122.807,4361
2015-11-06,122.79,126.2,122.15,125.86,423363.0,124.94,3544
2015-11-09,125.36,125.92,122.56,124.44,265028.0,124.179,2200
2015-11-10,124.53,125.69,123.08,125.1,314747.0,124.51,2405
2015-11-11,125.63,125.63,120.65,120.81,286956.0,121.805,2373
2015-11-12,120.41,120.56,117.5,117.62,494761.0,118.743,3949
2015-11-13,117.15,120.3,115.9,119.76,517767.0,119.372,3833
2015-11-16,119.57,120.73,119.04,120.23,828685.0,119.931,5627
2015-11-17,120.27,123.65,119.48,122.66,470179.0,122.415,3395
2015-11-18,122.98,124.59,122.54,124.44,365565.0,123.754,2935
2015-11-19,118.69,122.79,118.47,119.08,917890.0,119.831,5918
2015-11-20,119.81,122.78,119.73,122.5,403250.0,121.691,2861
2015-11-23,122.74,125.26,121.53,123.4,450468.0,123.808,3449
2015-11-24,122.57,124.48,122.01,124.31,714999.0,123.374,5456
2015-11-25,124.11,124.95,122.5,123.75,410618.0,123.741,3021
2015-11-27,124.11,125.37,123.54,124.59,130943.0,124.737,1100
2015-11-30,124.86,125.3,121.18,121.52,505036.0,122.018,3397
2015-12-01,122.69,125.49,122.69,125.33,441275.0,124.128,3298
2015-12-02,125.06,125.89,122.67,122.94,314474.0,124.156,2354
2015-12-03,123.08,123.42,116.71,118.16,586393.0,119.214,4530
2015-12-04,118.76,120.4,117.91,119.45,453108.0,119.029,3699
2015-12-07,119.33,119.59,116.46,117.09,377301.0,117.491,3056
2015-12-08,115.91,120.5,115.02,120.28,507630.0,119.045,4247
2015-12-09,119.45,122.81,118.39,118.75,475781.0,119.896,3848
2015-12-10,118.83,121.96,118.83,121.11,290086.0,121.0,2496
2015-12-11,119.94,121.27,119.3,119.49,374604.0,119.913,2899
2015-12-14,119.72,120.7,113.83,116.16,707235.0,116.221,4768
2015-12-15,117.46,118.62,116.82,118.31,291592.0,117.648,2391
2015-12-16,119.55,120.64,114.96,116.75,530306.0,117.019,4170
2015-12-17,116.58,118.44,115.66,116.12,464819.0,116.918,3431
2015-12-18,116.31,117.27,114.8,114.96,409244.0,115.787,2722
2015-12-21,115.24,119.73,115.21,119.14,452890.0,118.509,3582
2015-12-22,119.37,120.11,116.37,117.77,388347.0,117.717,3290
2015-12-23,118.65,122.07,118.15,121.1,497742.0,120.857,3940
2015-12-24,120.67,122.15,119.79,120.64,135117.0,120.83,1046
2015-12-28,119.96,120.55,118.21,119.35,288875.0,119.186,2429
2015-12-29,120.0,121.81,119.44,121.4,611350.0,120.998,4876
2015-12-30,121.29,121.94,119.85,120.02,170222.0,120.831,1405
2015-12-31,119.1,121.16,118.84,119.49,221491.0,120.068,1823
2016-01-04,117.46,119.19,116.5,117.92,455075.0,117.525,3773
2016-01-05,118.56,120.25,118.18,118.43,517217.0,118.985,3929
2016-01-06,116.68,117.57,114.12,115.7,637902.0,115.688,5412
2016-01-07,113.45,115.16,112.3,112.9,565833.0,113.537,4386
2016-01-08,113.27,115.82,112.05,112.38,514365.0,113.645,4247
2016-01-11,114.18,117.83,112.92,114.46,765340.0,114.643,5930
2016-01-12,115.41,117.5,110.1,112.3,518903.0,112.52,4284
2016-01-13,112.4,113.4,107.92,109.1,1001838.0,109.868,6115
2016-01-14,109.31,112.05,109.0,111.18,636947.0,110.646,4853
2016-01-15,108.83,110.8,107.12,109.17,799775.0,108.645,5048
2016-01-19,110.41,110.59,105.68,107.37,800256.0,108.003,6294
2016-01-20,105.76,108.49,103.57,107.39,761764.0,105.83,5543
2016-01-21,107.77,110.16,106.05,106.95,537117.0,107.693,4579
2016-01-22,107.6,108.53,105.88,107.52,614633.0,107.312,5033
2016-01-25,107.25,109.41,107.25,108.46,432537.0,108.487,3728
2016-01-26,108.78,112.6,108.55,111.9,525030.0,111.374,4323
2016-01-27,111.76,113.7,110.4,111.08,453984.0,111.923,3554
2016-01-28,112.79,113.87,107.49,108.02,524497.0,109.986,3769
2016-01-29,108.28,112.85,108.03,112.64,456312.0,111.533,3119
2016-02-01,112.28,115.8,111.98,115.07,512092.0,114.257,4197
2016-02-02,113.5,113.55,111.59,112.1,382924.0,112.324,3071
2016-02-03,112.91,113.29,109.11,111.58,424305.0,110.824,3222
2016-02-04,111.21,113.03,109.48,111.85,381886.0,111.164,2879
2016-02-05,111.22,111.99,108.26,109.04,476623.0,109.777,3852
2016-02-08,107.04,107.56,103.5,104.47,427409.0,105.091,3604
2016-02-09,103.29,106.36,102.99,105.52,399459.0,104.648,2991
2016-02-10,106.44,110.68,106.23,108.99,518355.0,108.812,4150
2016-02-11,107.29,108.04,101.56,101.65,879461.0,103.295,7014
2016-02-12,102.43,104.5,100.82,104.26,518555.0,102.819,3556
2016-02-16,101.0,106.25,100.99,106.1,899661.0,103.456,5531
2016-02-17,107.17,109.18,106.59,107.74,946522.0,108.069,6426
2016-02-18,108.13,108.8,107.1,107.32,567370.0,107.935,4017
2016-02-19,107.42,107.42,105.03,106.99,1412800.0,106.088,8470
2016-02-22,108.06,110.44,108.06,110.03,596916.0,109.54,4505
2016-02-23,109.77,110.87,107.56,109.73,449220.0,109.577,3427
2016-02-24,108.58,110.81,107.71,110.66,360756.0,109.419,2778
2016-02-25,111.27,112.92,108.82,111.28,686970.0,110.313,5382
