date,open,high,low,close,volume,average,barCount
2015-10-13,165.54,167.33,163.33,163.85,331190.0,164.915,2358
2015-10-14,163.6,164.09,158.43,159.26,463197.0,160.145,3716
2015-10-15,160.28,161.21,158.04,161.06,538127.0,159.873,3889
2015-10-16,161.32,167.38,161.15,166.11,526507.0,165.692,4078
2015-10-19,166.08,168.63,164.5,168.36,539665.0,167.168,4426
2015-10-20,169.0,170.13,168.03,169.21,456972.0,169.078,3798
2015-10-21,169.69,170.13,167.62,168.22,334993.0,168.831,2815
2015-10-22,168.99,170.25,167.71,168.02,320754.0,168.62,2663
2015-10-23,169.92,169.92,163.74,165.91,402356.0,165.703,3081
2015-10-26,166.01,170.0,165.95,169.2,580669.0,168.771,4468
2015-10-27,169.73,169.92,167.41,169.09,285243.0,168.57,2238
2015-10-28,169.32,173.99,168.01,172.96,609164.0,172.212,4247
2015-10-29,172.07,173.5,171.12,173.3,349515.0,172.182,2796
2015-10-30,173.36,175.72,172.74,173.96,503743.0,174.489,3812
2015-11-02,174.88,175.78,171.17,172.76,469977.0,172.517,3571
2015-11-03,171.92,174.95,171.9,172.95,489183.0,173.598,3857
2015-11-04,173.32,173.53,169.39,170.12,363076.0,170.481,2981
2015-11-05,170.58,173.18,169.5,172.53,316719.0,171.66,2370
2015-11-06,172.04,173.21,170.34,172.64,235749.0,171.738,1806
2015-11-09,172.27,172.27,169.6,171.56,303014.0,170.903,2453
2015-11-10,170.98,174.1,170.78,174.08,257574.0,172.833,1851
2015-11-11,174.28,174.67,170.51,170.69,462976.0,171.904,3185
2015-11-12,170.23,171.49,169.24,169.36,482748.0,170.129,3931
2015-11-13,167.89,168.0,151.52,155.2,2553710.0,157.008,16757
2015-11-16,154.34,160.42,154.2,159.48,1378052.0,158.264,9240
2015-11-17,160.59,163.58,160.01,162.7,615695.0,161.755,4748
2015-11-18,163.74,165.27,160.62,164.99,384721.0,163.516,3114
2015-11-19,165.24,165.75,163.25,164.5,402725.0,164.743,3138
2015-11-20,165.0,170.54,164.46,170.51,599995.0,168.788,4407
2015-11-23,170.77,173.0,169.57,170.84,569963.0,171.063,3427
2015-11-24,169.78,172.19,169.37,170.83,442628.0,171.072,3589
2015-11-25,170.01,171.01,169.17,170.11,549979.0,170.235,4542
2015-11-27,170.59,171.84,169.88,170.98,258253.0,171.146,2096
2015-11-30,173.01,174.49,165.84,167.0,961389.0,168.561,6826
2015-12-01,167.82,168.95,163.78,165.83,858585.0,165.822,6413
2015-12-02,165.83,166.2,162.58,163.52,942523.0,164.042,7344
2015-12-03,164.41,165.36,161.0,163.19,1395657.0,163.012,10174
2015-12-04,174.8,185.73,173.87,184.08,4513010.0,180.975,29825
2015-12-07,184.64,186.27,183.21,184.24,1223367.0,184.749,9202
2015-12-08,182.25,185.49,181.95,185.08,672145.0,184.032,5269
2015-12-09,184.56,186.65,183.67,184.06,562827.0,184.884,4628
