date,open,high,low,close,volume,average,barCount
2015-10-13,68.75,71.95,68.01,70.01,1917202.0,70.306,14182
2015-10-14,69.96,71.01,68.88,70.2,1717916.0,70.321,11838
2015-10-15,69.5,69.88,67.02,69.27,2200317.0,68.827,13666
2015-10-16,69.18,69.18,66.04,66.89,2127056.0,67.116,14238
2015-10-19,66.47,66.93,65.02,65.39,1770956.0,65.714,13389
2015-10-20,65.02,67.73,64.22,66.21,2414909.0,66.24,18105
2015-10-21,66.68,68.2,65.01,67.2,2855859.0,66.962,20201
2015-10-22,69.82,74.85,69.28,73.9,4727776.0,72.734,31681
2015-10-23,74.15,75.97,73.1,73.96,2050953.0,74.255,15398
2015-10-26,74.14,75.0,73.12,73.85,1366554.0,73.733,10550
2015-10-27,72.47,73.29,71.23,71.98,1191708.0,72.054,9330
2015-10-28,72.32,75.15,71.93,74.69,1236473.0,74.335,9161
2015-10-29,73.95,75.42,73.27,74.26,1006091.0,74.235,7523
2015-10-30,74.62,75.51,73.95,74.86,1177889.0,74.795,8279
2015-11-02,74.84,76.58,74.73,76.04,1040101.0,75.805,7659
2015-11-03,75.9,78.09,75.65,76.97,1449680.0,76.879,10500
2015-11-04,77.34,77.92,75.98,76.56,703762.0,76.627,5263
2015-11-05,76.39,78.62,75.69,78.34,1628126.0,77.735,12539
2015-11-06,77.45,80.18,77.02,79.84,1596785.0,79.205,11408
2015-11-09,79.4,79.96,76.18,77.5,1454234.0,77.564,11001
2015-11-10,77.17,78.09,76.28,77.72,1068011.0,77.153,8055
2015-11-11,77.97,77.97,76.67,76.99,1167047.0,77.079,8395
2015-11-12,75.46,76.32,73.32,73.49,2205604.0,74.331,15687
2015-11-13,73.53,74.82,73.11,74.14,1566099.0,74.013,12019
2015-11-16,74.06,75.29,73.63,74.75,1233495.0,74.474,9480
2015-11-17,76.22,77.86,75.41,75.66,1609521.0,76.447,11350
2015-11-18,76.12,77.21,75.84,76.99,1107263.0,76.605,8692
2015-11-19,76.47,76.96,75.02,75.56,1135038.0,75.61,8281
2015-11-20,75.99,76.93,75.24,75.58,953514.0,75.821,7292
2015-11-23,75.4,76.47,75.35,76.14,823503.0,76.033,6299
2015-11-24,75.87,78.37,75.75,77.41,1467482.0,77.567,10612
2015-11-25,77.73,78.6,76.4,77.88,786651.0,77.725,5967
2015-11-27,77.32,78.2,76.8,77.16,336248.0,77.253,2522
