date,open,high,low,close,volume,average,barCount
2015-10-12,43.18,43.69,42.52,42.9,4361894.0,43.036,30638
2015-10-13,42.9,43.54,41.27,41.42,4904775.0,42.387,35237
2015-10-14,41.56,42.67,41.5,42.24,4783804.0,42.138,33305
2015-10-15,41.78,42.91,41.58,42.73,6467841.0,42.49,42068
2015-10-16,43.0,43.77,42.73,43.55,8695146.0,43.412,42229
2015-10-19,44.04,44.25,42.76,43.74,5280851.0,43.621,33914
2015-10-20,44.2,44.2,42.46,42.55,6805207.0,43.258,37164
2015-10-21,42.49,42.52,39.44,40.89,11335727.0,40.704,67262
2015-10-22,40.6,40.6,37.59,39.16,16163061.0,38.885,90305
2015-10-23,39.74,41.56,38.91,40.96,9349690.0,40.526,63034
2015-10-26,40.9,42.16,40.4,41.85,6090023.0,41.679,39455
2015-10-27,42.12,44.11,42.01,44.09,8311285.0,43.341,53784
2015-10-28,44.38,45.37,43.56,44.89,7972722.0,44.583,56147
2015-10-29,46.68,48.04,45.08,45.78,11626534.0,46.212,70429
2015-10-30,45.22,46.05,43.43,44.09,10459713.0,44.196,55339
2015-11-02,44.87,46.33,44.25,45.81,7710020.0,45.64,47958
2015-11-03,45.46,47.49,45.46,46.57,10248362.0,46.668,57700
2015-11-04,47.05,47.46,46.4,46.58,9594939.0,46.829,52822
2015-11-05,46.42,46.78,44.64,44.79,6157434.0,45.295,38960
2015-11-06,45.01,45.45,44.2,44.96,5050375.0,44.868,31844
2015-11-09,45.1,46.23,44.4,45.14,5913149.0,45.235,35121
2015-11-10,45.34,45.85,44.75,45.44,9112171.0,45.436,51493
2015-11-11,45.66,46.43,44.28,44.49,6512613.0,45.428,44490
2015-11-12,44.65,44.73,42.56,43.2,11016403.0,43.724,65541
2015-11-13,47.64,49.49,46.48,48.78,29226070.0,48.37,139949
2015-11-16,48.86,50.51,48.4,50.0,9238259.0,49.718,55909
2015-11-17,50.25,51.45,50.1,50.66,7060184.0,50.654,48077
2015-11-18,50.85,52.24,50.42,52.02,9680470.0,51.584,44643
2015-11-19,52.46,52.46,50.2,51.22,5310571.0,51.071,33779
2015-11-20,51.58,51.97,50.35,51.87,6067216.0,51.217,33406
2015-11-23,51.86,52.45,50.53,50.88,5170268.0,51.397,33721
2015-11-24,50.56,50.97,50.18,50.39,4479019.0,50.506,30316
2015-11-25,50.27,51.85,50.24,51.8,4668559.0,51.385,32706
2015-11-27,51.85,52.02,51.47,51.74,1572242.0,51.784,10985
2015-11-30,51.71,52.0,50.87,51.3,3221726.0,51.434,22463
2015-12-01,51.88,53.34,51.51,53.08,6216506.0,52.731,40308
2015-12-02,52.78,54.5,51.77,52.08,6293513.0,52.813,41346
2015-12-03,52.21,52.42,50.24,51.07,5574704.0,51.13,34626
2015-12-04,50.7,51.47,50.15,51.41,5042897.0,51.072,34542
2015-12-07,51.23,51.55,50.13,51.09,4249978.0,50.729,30093
2015-12-08,50.5,51.53,50.23,51.26,3811762.0,51.144,27507
2015-12-09,51.04,52.05,50.25,50.7,4722603.0,50.971,30153
2015-12-10,51.0,53.0,50.82,52.93,4444360.0,52.105,30427
2015-12-11,52.26,53.28,51.91,52.56,4976037.0,52.502,36211
2015-12-14,53.64,53.81,51.85,53.37,7724618.0,53.093,48983
2015-12-15,54.09,55.0,53.77,53.99,5946758.0,54.225,39962
2015-12-16,54.2,54.74,53.17,54.39,3895101.0,54.054,28086
2015-12-17,55.14,55.3,52.94,52.97,5202347.0,53.974,35491
2015-12-18,52.44,53.74,52.15,53.17,5243141.0,53.043,31786
2015-12-21,53.52,53.85,53.17,53.64,3101797.0,53.431,21372
2015-12-22,53.62,54.29,53.41,54.19,2293139.0,53.856,16010
2015-12-23,54.26,55.06,54.12,54.79,2615358.0,54.75,18658
2015-12-24,55.09,55.15,54.35,54.82,1078777.0,54.721,7395
2015-12-28,54.48,54.48,53.58,54.33,2016944.0,54.181,14121
2015-12-29,54.61,55.51,54.47,55.28,2986681.0,55.131,19073
2015-12-30,55.01,55.5,54.5,54.62,1834167.0,54.897,11767
2015-12-31,54.36,54.77,54.02,54.07,1997858.0,54.309,13164
2016-01-04,52.88,54.0,52.7,53.28,4335968.0,53.381,32261
2016-01-05,53.67,54.43,53.25,54.09,3464038.0,53.943,25446
2016-01-06,52.96,54.44,52.78,53.36,3521929.0,53.504,26724
2016-01-07,52.52,52.67,51.57,51.61,4903865.0,51.978,35415
2016-01-08,51.7,51.93,49.26,49.42,5613854.0,50.157,39659
2016-01-11,50.06,50.23,48.33,49.5,4927929.0,49.106,36323
2016-01-12,49.73,50.67,48.77,50.09,3491545.0,49.653,27536
2016-01-13,50.5,50.99,48.77,48.89,3269695.0,49.894,24940
2016-01-14,49.0,51.65,48.41,50.7,5518580.0,50.508,39087
2016-01-15,48.9,50.41,48.03,49.71,7710544.0,49.676,46935
2016-01-19,50.55,51.78,48.74,50.22,5987662.0,50.198,44898
2016-01-20,49.71,52.16,49.54,51.4,4575560.0,50.622,34701
2016-01-21,51.86,52.27,50.44,51.44,3257038.0,51.611,25052
2016-01-22,52.6,53.41,51.94,53.11,2912616.0,52.957,21345
2016-01-25,52.96,53.63,52.4,52.62,2431926.0,52.939,19107
2016-01-26,52.73,54.23,52.05,53.93,2962742.0,53.528,23556
2016-01-27,53.85,53.92,50.83,51.23,5577250.0,52.454,39051
2016-01-28,51.89,51.94,49.5,50.43,4659376.0,50.601,35319
2016-01-29,50.84,52.77,50.29,52.69,3554343.0,51.862,26911
2016-02-01,51.92,52.67,50.62,52.35,4284002.0,51.583,30268
2016-02-02,52.01,53.05,50.53,50.82,4029906.0,51.413,30702
2016-02-03,51.39,52.55,49.33,52.26,4649534.0,51.422,35138
2016-02-04,51.94,53.21,51.15,52.31,3291910.0,52.038,26468
2016-02-05,52.21,52.91,50.95,51.39,3575942.0,51.659,25480
2016-02-08,50.81,51.15,49.34,50.45,3891411.0,50.16,29131
2016-02-09,49.77,51.59,49.14,50.74,4622759.0,50.366,35735
2016-02-10,51.21,51.73,49.14,50.54,9146225.0,50.408,57438
2016-02-11,43.95,44.0,40.04,41.42,29104230.0,41.589,139710
2016-02-12,41.34,42.0,40.05,41.83,13300450.0,40.995,73761
2016-02-16,42.27,43.2,41.94,43.15,8765439.0,42.636,52248
2016-02-17,43.8,46.42,43.72,46.27,8892298.0,45.435,52479
2016-02-18,46.46,47.05,44.62,44.71,7209117.0,45.804,46979
2016-02-19,43.8,45.98,43.8,45.34,4320963.0,45.219,27883
2016-02-22,46.35,46.9,45.63,46.81,4299012.0,46.351,27099
2016-02-23,46.7,47.97,46.54,46.71,5232958.0,47.121,34579
2016-02-24,45.7,46.78,44.86,46.6,2972317.0,45.917,19105
