date,open,high,low,close,volume,average,barCount
2015-10-13,52.71,52.94,52.25,52.44,1423856.0,52.431,10257
2015-10-14,52.48,52.64,52.12,52.25,1241644.0,52.32,8709
2015-10-15,52.44,53.06,52.17,53.0,1391747.0,52.681,10077
2015-10-16,53.25,53.52,53.02,53.3,1639180.0,53.231,11138
2015-10-19,53.21,53.48,52.82,53.47,1667349.0,53.253,12222
2015-10-20,53.3,53.65,53.15,53.37,1163688.0,53.407,9233
2015-10-21,53.65,53.83,53.07,53.16,1473470.0,53.312,10586
2015-10-22,53.25,53.88,53.05,53.73,1446360.0,53.54,10536
2015-10-23,53.49,53.54,52.67,52.81,1359078.0,52.984,9238
2015-10-26,52.65,52.86,52.26,52.85,1116166.0,52.598,7972
2015-10-27,52.71,52.93,52.4,52.68,1032894.0,52.632,7502
2015-10-28,52.69,52.9,51.29,51.9,1522001.0,51.89,10404
2015-10-29,51.66,51.81,50.61,51.3,1606018.0,51.049,11401
2015-10-30,51.48,51.84,51.31,51.56,1122257.0,51.645,8609
2015-11-02,51.56,51.85,51.22,51.71,1321028.0,51.59,9865
2015-11-03,51.64,51.93,51.22,51.88,1378643.0,51.58,10426
2015-11-04,51.42,53.21,51.22,51.99,1764714.0,52.366,12403
2015-11-05,51.97,52.21,51.64,51.68,1200158.0,51.818,8988
2015-11-06,50.91,51.14,48.95,49.51,2816447.0,49.467,19811
2015-11-09,49.34,49.48,48.85,49.19,2193630.0,49.107,15319
2015-11-10,48.92,49.57,48.83,49.57,1712533.0,49.324,12225
2015-11-11,49.66,50.14,49.43,49.99,1080579.0,49.826,8127
2015-11-12,49.83,50.5,49.44,49.49,1147932.0,49.79,8882
2015-11-13,49.5,49.9,48.94,49.02,959204.0,49.306,6793
2015-11-16,48.99,50.4,48.81,50.37,1403414.0,49.882,9863
2015-11-17,50.21,50.65,49.42,49.54,1843637.0,49.967,12634
2015-11-18,49.61,50.15,49.2,50.07,1577237.0,49.705,10946
2015-11-19,50.21,50.56,49.82,50.26,1697247.0,50.244,11756
2015-11-20,50.48,50.89,50.3,50.51,1072315.0,50.521,7327
2015-11-23,50.39,50.67,49.82,49.92,929477.0,50.095,6994
2015-11-24,49.75,49.89,49.01,49.38,1718306.0,49.323,12387
2015-11-25,49.5,49.51,48.88,49.07,1516887.0,49.086,10434
2015-11-27,49.19,49.82,49.07,49.54,674969.0,49.619,4899
2015-11-30,49.67,49.89,49.3,49.32,1584381.0,49.524,10893
2015-12-01,49.69,49.94,49.25,49.91,1950356.0,49.646,11757
2015-12-02,49.7,49.97,48.64,48.69,1374502.0,49.02,10865
2015-12-03,48.38,48.65,47.98,48.12,1300779.0,48.173,9894
2015-12-04,48.34,49.5,48.25,49.45,1555789.0,49.198,11104
2015-12-07,49.28,50.19,49.28,50.08,2518298.0,49.817,15694
2015-12-08,50.0,50.58,49.92,50.5,1867459.0,50.263,13865
2015-12-09,50.28,50.77,49.83,49.94,1806796.0,50.188,13209
2015-12-10,49.9,49.9,48.52,48.56,1934597.0,48.86,13044
2015-12-11,48.45,49.03,48.05,48.56,1349119.0,48.602,9744
2015-12-14,48.89,49.62,48.71,49.54,1953629.0,49.227,13962
2015-12-15,49.78,50.46,49.65,49.92,1252036.0,50.132,9265
2015-12-16,50.11,51.37,50.11,51.22,1793165.0,51.006,12964
2015-12-17,51.25,51.58,50.31,51.26,2216121.0,51.069,14988
2015-12-18,51.01,51.09,49.98,50.24,1439425.0,50.5,8869
2015-12-21,50.48,50.86,50.03,50.39,1030248.0,50.34,7675
2015-12-22,50.44,50.93,49.9,50.74,961582.0,50.491,7375
2015-12-23,50.93,51.64,50.79,51.54,1053999.0,51.459,6986
2015-12-24,51.56,51.68,51.43,51.57,634962.0,51.558,3965
2015-12-28,51.39,52.0,51.28,51.89,923111.0,51.759,7141
2015-12-29,52.0,52.54,51.98,52.3,925508.0,52.321,6780
2015-12-30,52.35,52.88,52.12,52.23,794609.0,52.309,5973
2015-12-31,51.98,52.1,51.01,51.31,723540.0,51.488,5556
2016-01-04,50.93,51.32,50.53,51.32,1343222.0,50.999,10066
2016-01-05,51.31,52.02,50.44,51.87,1971063.0,51.488,14182
2016-01-06,51.48,51.97,51.35,51.73,1135623.0,51.725,9176
2016-01-07,51.14,51.88,51.11,51.72,1479556.0,51.685,12335
2016-01-08,51.79,52.17,51.37,51.47,1335905.0,51.798,10724
2016-01-11,51.75,52.19,51.54,51.89,1394233.0,51.885,10864
2016-01-12,52.12,52.13,51.02,51.55,1306666.0,51.447,10107
2016-01-13,51.85,52.46,51.67,51.84,1754353.0,52.111,13001
2016-01-14,51.8,53.4,51.41,53.0,2661478.0,52.699,18178
2016-01-15,52.22,52.92,52.02,52.75,1930639.0,52.488,13946
2016-01-19,52.91,54.35,52.65,54.19,3095270.0,53.8,20362
2016-01-20,53.82,54.23,52.59,52.94,3052941.0,53.233,21968
2016-01-21,53.0,53.57,52.01,52.47,2414978.0,52.547,16020
2016-01-22,52.75,53.72,52.39,53.62,2224265.0,53.136,15789
2016-01-25,53.64,53.75,53.01,53.21,1821806.0,53.315,13342
2016-01-26,53.36,54.25,53.24,53.86,1928960.0,53.876,14006
2016-01-27,53.43,54.2,52.95,53.58,1846042.0,53.617,13685
2016-01-28,53.51,55.22,52.96,54.7,2225340.0,54.602,14976
2016-01-29,55.25,55.72,54.92,55.23,1943231.0,55.346,14029
2016-02-01,55.19,56.53,54.84,56.09,2069513.0,56.039,14793
2016-02-02,55.86,56.15,55.41,56.13,1700973.0,55.813,12570
2016-02-03,56.4,57.05,56.21,56.65,2308009.0,56.611,16685
2016-02-04,56.09,57.17,56.09,56.4,2071307.0,56.543,13882
2016-02-05,56.02,57.11,55.21,57.05,2127959.0,56.622,13993
2016-02-08,57.16,58.15,56.6,57.46,2607494.0,57.106,17997
2016-02-09,57.23,57.9,57.06,57.39,2185114.0,57.503,15947
2016-02-10,56.63,57.06,55.35,56.44,1913902.0,56.106,14210
2016-02-11,56.58,56.8,55.73,55.74,1410401.0,56.034,10502
2016-02-12,55.77,56.12,54.93,55.67,1102262.0,55.508,7859
2016-02-16,55.99,55.99,54.73,55.73,1341287.0,55.444,10225
2016-02-17,55.7,55.79,54.91,55.53,1581234.0,55.406,11708
2016-02-18,55.43,56.94,55.34,56.61,1269634.0,56.453,8949
2016-02-19,56.63,56.92,55.98,56.53,1013562.0,56.571,7117
2016-02-22,56.83,57.15,56.35,57.1,1091336.0,56.944,7018
2016-02-23,56.86,57.44,56.77,57.35,810727.0,57.232,5559
2016-02-24,57.23,57.69,56.72,57.39,1420554.0,57.231,10397
2016-02-25,57.68,58.09,57.36,57.98,1139656.0,57.844,7477
2016-02-26,57.81,57.96,56.14,56.44,1070444.0,56.703,6860
2016-02-29,56.43,57.08,56.3,56.35,1107978.0,56.618,8059
2016-03-01,56.79,56.98,55.94,56.35,1658360.0,56.43,10953
2016-03-02,56.07,56.39,54.85,56.23,1833540.0,55.862,12910
2016-03-03,56.32,56.52,55.26,56.47,1256132.0,55.84,8440
2016-03-04,56.2,57.14,55.86,57.04,1020913.0,56.691,7701
2016-03-07,56.82,57.09,56.55,56.91,1225823.0,56.865,9014
2016-03-08,56.99,57.99,56.88,57.77,1512230.0,57.636,9482
2016-03-09,57.77,58.55,57.54,58.08,1343046.0,58.17,10037
2016-03-10,57.96,58.38,57.4,57.92,1422779.0,57.939,8902
2016-03-11,58.34,58.54,57.91,58.15,1150908.0,58.159,8202
2016-03-14,57.95,58.33,57.63,58.05,1384240.0,58.071,8566
2016-03-15,57.89,58.46,57.89,58.34,1470284.0,58.275,7881
2016-03-16,58.22,58.91,57.59,58.77,1418565.0,58.446,8563
2016-03-17,58.92,59.47,58.62,59.2,1259042.0,59.117,8552
2016-03-18,59.18,59.44,58.49,58.5,2651568.0,58.979,14307
2016-03-21,58.35,58.86,57.86,58.56,1650613.0,58.611,9054
2016-03-22,58.64,58.87,58.16,58.24,1270556.0,58.419,8552
2016-03-23,58.29,59.18,57.97,58.83,1334959.0,58.783,9190
2016-03-24,58.67,59.22,58.61,58.89,778601.0,58.855,5757
2016-03-28,59.0,59.38,58.57,58.68,694874.0,58.738,4912
2016-03-29,58.84,59.65,58.66,59.59,945952.0,59.272,6419
2016-03-30,59.61,59.75,59.19,59.61,711350.0,59.536,5024
2016-03-31,59.57,60.16,59.29,60.07,1262657.0,59.851,8545
2016-04-01,59.85,60.24,59.27,59.97,1858944.0,59.663,12491
2016-04-04,60.0,60.32,59.29,60.11,1211691.0,59.794,8816
2016-04-05,60.01,60.1,58.97,58.98,2427048.0,59.335,15442
2016-04-06,58.78,59.05,58.41,58.81,992744.0,58.656,7430
2016-04-07,58.56,59.24,58.51,58.91,853197.0,58.849,6602
2016-04-08,58.95,59.48,58.9,58.93,791588.0,59.091,5285
2016-04-11,59.0,59.45,58.7,58.73,1239601.0,58.847,7258
2016-04-12,58.82,59.17,58.62,59.13,883325.0,58.99,6225
2016-04-13,59.18,59.18,58.29,58.6,1212995.0,58.523,8292
2016-04-14,58.43,58.73,58.16,58.38,1013864.0,58.321,7112
2016-04-15,58.43,58.97,58.32,58.79,987188.0,58.713,5978
2016-04-18,58.71,59.14,58.48,59.14,652806.0,58.845,4455
2016-04-19,59.13,59.25,58.71,59.14,1093678.0,59.03,8345
2016-04-20,59.01,59.44,57.09,57.12,1517082.0,57.906,10087
2016-04-21,56.94,56.97,55.46,55.9,2604165.0,56.058,18326
2016-04-22,56.2,56.69,56.09,56.65,1595803.0,56.485,10300
2016-04-25,56.58,56.91,56.32,56.82,1381187.0,56.737,9930
2016-04-26,56.73,57.01,56.6,56.71,1353662.0,56.755,9596
2016-04-27,56.92,58.12,56.83,57.7,1513701.0,57.558,10597
2016-04-28,57.34,58.19,57.0,58.08,1419056.0,57.905,10426
2016-04-29,57.85,58.31,57.16,58.21,1330967.0,57.851,9510
2016-05-02,58.31,58.7,57.95,58.42,1577992.0,58.363,11635
2016-05-03,58.83,59.39,58.34,58.95,2230467.0,58.845,15999
2016-05-04,58.92,60.51,58.92,60.1,1771671.0,60.071,12893
2016-05-05,59.91,60.49,59.66,59.97,1344159.0,59.942,10037
2016-05-06,59.94,59.99,58.74,59.25,2102015.0,59.139,12584
2016-05-09,59.74,60.17,59.3,60.08,2018905.0,59.891,14008
2016-05-10,60.1,60.43,59.79,60.03,1912193.0,60.15,13342
2016-05-11,59.75,60.13,59.34,60.06,1559891.0,59.749,11197
