date,open,high,low,close,volume,average,barCount
2015-10-13,42.21,43.03,41.34,41.4,5660834.0,42.067,35850
2015-10-14,41.49,41.98,40.73,40.97,7573321.0,41.198,37514
2015-10-15,41.08,41.8,40.5,41.65,5825190.0,41.296,35718
2015-10-16,41.97,42.61,41.52,42.28,4034309.0,42.148,25072
2015-10-19,41.63,42.48,40.93,41.93,3709825.0,41.943,23288
2015-10-20,41.47,42.17,41.3,41.46,4466764.0,41.621,27770
2015-10-21,41.46,41.66,40.1,40.48,4944716.0,40.64,31761
2015-10-22,40.41,40.64,39.47,39.81,7830968.0,39.973,44136
2015-10-23,39.81,40.16,39.05,39.2,5876141.0,39.456,31897
2015-10-26,39.23,39.23,37.41,37.57,6758004.0,37.922,38972
2015-10-27,37.03,37.53,36.6,37.47,5620137.0,37.173,31474
2015-10-28,37.56,39.18,37.46,38.3,7460474.0,38.404,36700
2015-10-29,38.03,38.79,37.65,38.3,5621304.0,38.455,26008
2015-10-30,38.51,39.98,38.17,39.44,5649262.0,39.229,30548
2015-11-02,39.1,40.31,39.05,39.57,5392962.0,39.592,27222
2015-11-03,39.77,40.76,39.54,40.28,3922862.0,40.222,23104
2015-11-04,40.25,40.29,38.37,38.93,6827169.0,39.272,32121
2015-11-05,38.83,39.03,37.24,38.25,7134003.0,38.046,30174
2015-11-06,37.88,38.11,37.13,37.98,3203262.0,37.787,18724
2015-11-09,37.81,38.3,36.84,36.95,3590718.0,37.222,20398
2015-11-10,36.81,37.14,36.19,36.81,3047977.0,36.743,17700
2015-11-11,36.77,36.87,35.59,36.35,4961047.0,36.083,27765
2015-11-12,35.86,36.0,34.84,35.1,4993807.0,35.217,28663
2015-11-13,34.86,35.47,33.48,35.1,6095490.0,34.47,36553
2015-11-16,35.1,37.42,34.92,37.31,5759395.0,36.744,34626
2015-11-17,37.26,38.24,36.45,37.56,5834215.0,37.65,37346
2015-11-18,37.71,38.43,37.41,38.1,4649065.0,37.936,24348
2015-11-19,37.73,38.33,36.98,37.72,7285778.0,37.795,31996
2015-11-20,37.59,38.11,36.55,36.82,8633466.0,37.485,39389
2015-11-23,36.74,37.54,36.44,36.65,8113035.0,37.119,42296
2015-11-24,36.7,37.59,36.65,37.14,8745708.0,37.217,40458
2015-11-25,36.9,37.19,36.06,36.44,4595559.0,36.54,22999
2015-11-27,36.09,36.38,35.85,36.14,1995254.0,36.13,10098
2015-11-30,36.21,36.65,35.9,36.56,4273409.0,36.437,21602
2015-12-01,36.69,36.97,36.12,36.66,5111124.0,36.63,27997
2015-12-02,36.29,36.38,34.82,35.4,7256897.0,35.386,42521
2015-12-03,35.61,35.62,33.13,33.26,10285635.0,34.076,46818
2015-12-04,33.09,33.09,30.76,31.11,13543070.0,31.847,82681
2015-12-07,29.55,29.71,25.63,26.97,22496342.0,27.044,101568
2015-12-08,26.12,28.43,25.52,27.24,16158411.0,27.237,75865
2015-12-09,26.97,29.16,26.71,28.94,13336992.0,28.276,72694
2015-12-10,28.57,29.94,28.5,29.68,9179472.0,29.424,53272
2015-12-11,28.89,29.01,26.24,26.42,10308764.0,26.916,49654
2015-12-14,26.22,26.31,25.08,25.57,7840926.0,25.539,42351
2015-12-15,25.84,26.61,25.69,25.84,11060979.0,26.068,61183
2015-12-16,25.42,26.15,25.36,25.81,7945938.0,25.707,45265
2015-12-17,25.76,25.99,23.57,23.7,12205803.0,24.097,62350
2015-12-18,23.92,24.19,21.5,21.54,25665305.0,22.421,116316
2015-12-21,21.64,22.09,20.95,22.0,17630947.0,21.523,79904
2015-12-22,21.99,23.4,21.97,22.57,21006755.0,22.678,87734
2015-12-23,23.02,25.44,23.0,25.34,21720912.0,24.726,86973
2015-12-24,25.43,25.8,24.75,24.91,6590953.0,25.26,30662
