date,open,high,low,close,volume,average,barCount
2015-10-13,16.48,16.62,16.38,16.38,1050934.5,16.4717037037037,2360
2015-10-14,16.36,16.41,16.18,16.2,640305.0,16.28859259259259,1593
2015-10-15,16.28,16.47,16.23,16.47,1178067.375,16.3922962962963,2904
2015-10-16,16.51,16.71,16.3,16.52,1812651.75,16.57125925925926,3285
2015-10-19,16.49,16.58,16.46,16.51,783192.375,16.49333333333333,1715
2015-10-20,16.55,16.69,16.54,16.6,734349.375,16.62459259259259,1794
2015-10-21,16.62,16.66,16.37,16.39,1666926.0,16.49303703703703,3781
2015-10-22,16.5,16.54,16.33,16.4,2133216.0,16.40888888888889,4571
2015-10-23,16.48,16.55,16.34,16.44,1019705.625,16.40918518518519,2463
2015-10-26,16.44,16.53,16.29,16.46,1763552.25,16.432,3740
2015-10-27,16.72,16.94,16.27,16.81,2523754.125,16.7842962962963,5701
2015-10-28,16.88,16.97,16.73,16.91,923001.75,16.88118518518519,2372
2015-10-29,16.87,16.94,16.78,16.83,891583.875,16.84592592592593,2127
2015-10-30,16.88,16.89,16.54,16.54,1113419.25,16.63822222222222,2677
2015-11-02,16.58,16.62,16.47,16.56,2140205.625,16.55674074074074,4321
2015-11-03,16.58,16.58,16.43,16.43,1114327.125,16.48148148148148,2712
2015-11-04,16.43,16.48,16.28,16.32,723495.375,16.33362962962963,1596
2015-11-05,16.33,16.44,16.28,16.41,1398387.375,16.37185185185185,3054
2015-11-06,16.44,16.47,16.32,16.46,1456332.75,16.42962962962963,3473
2015-11-09,16.4,16.44,16.22,16.29,506405.25,16.29540740740741,1186
2015-11-10,16.28,16.37,16.19,16.37,780553.125,16.328,1866
2015-11-11,16.4,16.4,16.26,16.31,2056603.5,16.32592592592593,3951
2015-11-12,16.31,16.32,15.98,15.99,1254220.875,16.09422222222222,2771
2015-11-13,15.92,15.99,15.8,15.82,1180912.5,15.86311111111111,2664
2015-11-16,15.78,15.97,15.75,15.97,2099216.25,15.84385185185185,3895
2015-11-17,15.98,16.0,15.74,15.75,719381.25,15.84325925925926,1840
2015-11-18,15.82,16.06,15.75,16.05,881796.375,15.9677037037037,2058
2015-11-19,16.03,16.18,15.98,16.15,881617.5,16.11822222222222,2070
2015-11-20,16.17,16.23,16.12,16.2,576099.0,16.19140740740741,1330
2015-11-23,16.19,16.49,16.16,16.45,1556563.5,16.39348148148148,3475
2015-11-24,16.38,16.55,16.31,16.51,1326871.125,16.45866666666667,3312
2015-11-25,16.51,16.52,16.36,16.49,1068076.125,16.44503703703703,2400
2015-11-27,16.42,16.52,16.37,16.5,365694.75,16.45540740740741,867
2015-11-30,16.56,16.58,16.47,16.49,853611.75,16.50696296296297,2105
2015-12-01,16.54,16.7,16.53,16.7,753269.625,16.62933333333333,1782
2015-12-02,16.72,16.85,16.65,16.78,1499978.25,16.77274074074074,3638
2015-12-03,16.83,16.93,16.53,16.59,1610418.375,16.70696296296297,3964
2015-12-04,16.62,16.88,16.62,16.88,704163.375,16.80948148148148,1779
2015-12-07,16.86,16.89,16.62,16.69,1201840.875,16.70785185185185,3061
2015-12-08,16.62,16.68,16.44,16.48,1071522.0,16.52296296296297,2765
2015-12-09,16.43,16.54,16.17,16.19,659866.5,16.2882962962963,1661
2015-12-10,16.19,16.26,16.09,16.17,886754.25,16.17185185185185,2191
2015-12-11,15.98,16.15,15.92,15.98,548265.375,16.01748148148148,1263
2015-12-14,15.96,16.17,15.94,16.12,1185303.375,16.07288888888889,3007
2015-12-15,16.2,16.27,16.03,16.07,1050843.375,16.09659259259259,2603
2015-12-16,16.18,16.25,15.91,16.1,948766.5,16.04,2365
2015-12-17,16.09,16.18,15.9,15.91,871033.5,15.992,2262
2015-12-18,15.85,15.88,15.58,15.62,2495491.875,15.69718518518519,5073
2015-12-21,15.71,15.78,15.51,15.7,1270255.5,15.63614814814815,2709
2015-12-22,15.74,15.89,15.6,15.82,1135657.125,15.76088888888889,2582
2015-12-23,15.89,15.93,15.79,15.91,808650.0,15.86340740740741,1937
2015-12-24,16.02,16.47,16.0,16.41,1359176.625,16.28059259259259,3200
2015-12-28,16.39,16.44,16.28,16.42,1122984.0,16.37837037037037,2599
2015-12-29,16.49,16.64,16.41,16.63,944011.125,16.54074074074074,2318
2015-12-30,16.57,16.68,16.51,16.54,665870.625,16.59051851851852,1683
2015-12-31,16.48,16.48,16.22,16.22,2112287.625,16.33422222222222,5112
2016-01-04,16.0,16.05,15.69,15.79,1885551.75,15.76592592592593,4270
2016-01-05,15.78,15.96,15.74,15.93,1581673.5,15.87407407407407,3460
2016-01-06,15.73,15.85,15.63,15.73,1012226.625,15.72592592592593,2448
2016-01-07,15.46,15.71,15.43,15.46,2143837.125,15.55703703703703,4533
2016-01-08,15.53,15.6,15.38,15.41,1667874.375,15.49866666666667,3440
2016-01-11,15.44,15.52,15.13,15.21,1696696.875,15.25096296296297,4215
2016-01-12,15.3,15.33,14.97,15.07,2457384.75,15.08385185185185,5785
2016-01-13,15.14,15.19,14.67,14.7,2234918.25,14.86251851851852,5440
2016-01-14,14.7,15.04,14.7,14.93,1224753.75,14.91348148148148,3010
2016-01-15,14.73,14.73,14.32,14.59,2456233.875,14.50340740740741,5652
2016-01-19,14.73,14.73,14.51,14.57,1462856.625,14.60296296296297,3611
2016-01-20,14.38,14.49,14.09,14.34,1588437.0,14.29540740740741,3820
2016-01-21,14.49,14.58,14.32,14.34,1529860.5,14.41511111111111,3541
2016-01-22,14.53,14.63,14.42,14.57,1150351.875,14.53837037037037,2895
2016-01-25,14.54,14.57,14.2,14.21,1898599.5,14.30577777777778,4594
2016-01-26,14.26,14.49,14.22,14.39,924010.875,14.38607407407407,2351
2016-01-27,14.39,14.55,14.27,14.32,865076.625,14.3837037037037,2134
2016-01-28,14.45,14.48,14.32,14.46,1113432.75,14.43288888888889,2651
2016-01-29,14.52,14.86,14.48,14.86,1438303.5,14.73807407407407,3370
2016-02-01,14.8,14.99,14.69,14.89,1350182.25,14.8877037037037,3405
2016-02-02,14.77,14.79,14.56,14.6,2124005.625,14.65392592592593,5393
2016-02-03,14.23,15.03,14.23,14.97,3328242.75,14.74311111111111,7376
2016-02-04,14.92,15.1,14.81,14.97,1745809.875,14.90340740740741,3947
2016-02-05,14.94,15.17,14.94,15.14,1796438.25,15.07348148148148,4646
2016-02-08,15.01,15.2,14.87,15.16,2155501.125,15.02607407407407,5380
2016-02-09,15.03,15.31,15.03,15.23,1104664.5,15.21007407407407,2835
2016-02-10,15.27,15.41,15.19,15.2,1257079.5,15.31496296296297,3120
2016-02-11,14.92,15.04,14.86,14.92,2117350.125,14.92414814814815,4125
2016-02-12,15.01,15.33,15.01,15.23,1073415.375,15.19792592592593,2688
2016-02-16,15.39,15.43,15.2,15.35,1539472.5,15.30725925925926,2871
2016-02-17,15.4,15.43,15.3,15.36,1042625.25,15.35555555555555,2509
2016-02-18,15.37,15.48,15.25,15.46,1179285.75,15.37037037037037,2670
2016-02-19,15.38,15.53,15.36,15.41,1177841.25,15.44237037037037,2575
2016-02-22,15.5,15.56,15.39,15.45,561279.375,15.44,1357
2016-02-23,15.42,15.47,15.28,15.31,667483.875,15.33837037037037,1386
2016-02-24,15.21,15.33,15.12,15.3,696920.625,15.23437037037037,1542
2016-02-25,15.34,15.47,15.34,15.42,550185.75,15.41451851851852,1271
2016-02-26,15.49,15.51,15.35,15.47,1397236.5,15.41777777777778,2177
2016-02-29,15.45,15.49,15.26,15.26,1214784.0,15.35140740740741,2833
2016-03-01,15.36,15.59,15.3,15.55,1265344.875,15.49066666666667,2717
2016-03-02,15.5,15.72,15.47,15.71,981682.875,15.61155555555555,2147
2016-03-03,15.72,15.78,15.67,15.76,628269.75,15.73748148148148,1448
2016-03-04,15.75,15.78,15.63,15.71,902994.75,15.69451851851852,2288
2016-03-07,15.64,15.69,15.51,15.63,830827.125,15.5997037037037,1686
2016-03-08,15.56,15.57,15.47,15.56,827580.375,15.5362962962963,1843
2016-03-09,15.64,15.64,15.44,15.47,615552.75,15.4957037037037,1435
2016-03-10,15.49,15.59,15.31,15.48,638769.375,15.43703703703703,1488
2016-03-11,15.56,15.83,15.5,15.82,685317.375,15.75348148148148,1618
2016-03-14,15.81,15.91,15.75,15.87,1087320.375,15.85333333333333,2544
2016-03-15,15.76,15.95,15.73,15.89,820145.25,15.88740740740741,1965
2016-03-16,15.85,15.89,15.75,15.8,807678.0,15.81807407407407,2077
2016-03-17,15.82,16.2,15.78,16.15,1520883.0,16.08711111111111,3731
2016-03-18,16.12,16.29,16.05,16.22,1534909.5,16.17392592592593,2662
2016-03-21,16.17,16.22,16.06,16.1,636828.75,16.12296296296297,1571
2016-03-22,16.11,16.29,16.07,16.2,1019182.5,16.21125925925926,2522
2016-03-23,16.2,16.25,16.07,16.12,572778.0,16.15081481481481,1458
2016-03-24,15.99,16.08,15.87,15.96,1289239.875,15.95851851851852,2653
2016-03-28,15.72,16.17,15.62,16.14,879069.375,16.03614814814815,1913
2016-03-29,16.13,16.35,16.13,16.34,1024835.625,16.25955555555555,2364
2016-03-30,16.41,16.72,16.37,16.64,2303599.5,16.61303703703703,4991
2016-03-31,16.59,16.75,16.55,16.65,1992265.875,16.66162962962963,4567
2016-04-01,16.56,16.83,16.51,16.81,1500012.0,16.72325925925926,3465
