date,open,high,low,close,volume,average,barCount
2015-10-13,55.41,55.87,54.94,54.99,108589.0,55.371,935
2015-10-14,55.11,55.42,54.57,54.79,170621.0,54.801,1363
2015-10-15,54.88,56.11,54.32,56.09,342460.0,55.184,1635
2015-10-16,56.25,56.94,55.72,56.35,133647.0,56.366,963
2015-10-19,55.91,56.51,55.46,55.88,149149.0,55.898,1257
2015-10-20,55.8,55.96,55.18,55.42,146374.0,55.509,1180
2015-10-21,55.82,55.94,54.39,55.1,91499.0,55.201,701
2015-10-22,55.27,55.7,54.58,55.51,183376.0,55.253,1566
2015-10-23,56.15,57.06,55.92,57.02,203140.0,56.596,1762
2015-10-26,57.01,57.3,56.57,57.15,133157.0,57.051,1056
2015-10-27,57.07,57.95,56.64,57.61,253967.0,57.59,1979
2015-10-28,57.68,60.05,57.19,59.96,421477.0,59.012,3107
2015-10-29,59.39,60.6,57.81,60.11,219039.0,59.942,1796
2015-10-30,60.0,60.78,59.68,60.01,176332.0,60.135,1374
2015-11-02,60.15,61.06,60.04,60.84,215878.0,60.532,1831
2015-11-03,60.75,61.25,60.01,61.11,245108.0,60.873,1542
2015-11-04,61.29,62.04,61.16,62.03,164209.0,61.7,1211
2015-11-05,62.01,62.62,61.56,62.54,233842.0,62.109,1271
2015-11-06,62.24,63.75,61.99,63.64,187714.0,63.191,1494
2015-11-09,63.45,63.75,62.84,63.25,302505.0,63.367,2270
2015-11-10,63.05,63.79,62.68,63.1,213361.0,63.029,1693
2015-11-11,63.2,63.63,62.56,62.56,124117.0,62.92,904
2015-11-12,62.05,62.63,61.41,61.54,174002.0,61.813,1274
2015-11-13,61.3,62.45,61.3,61.98,258484.0,61.901,1732
2015-11-16,62.09,62.63,61.96,62.58,186118.0,62.324,1262
2015-11-17,62.61,63.29,62.32,63.05,174433.0,62.822,1363
2015-11-18,63.21,63.4,62.45,62.99,203879.0,63.024,1458
2015-11-19,62.96,62.96,61.95,62.3,175062.0,62.302,1483
2015-11-20,62.35,62.8,62.22,62.24,259763.0,62.505,1834
2015-11-23,62.14,63.25,61.91,62.67,103952.0,62.686,851
2015-11-24,62.26,63.74,61.79,63.69,186534.0,63.212,1432
2015-11-25,63.87,63.87,63.37,63.62,172039.0,63.612,1286
2015-11-27,63.6,64.59,63.1,64.13,93255.0,63.717,612
2015-11-30,64.35,64.35,62.9,63.05,246281.0,63.258,1825
2015-12-01,63.37,64.11,63.03,63.96,106552.0,63.778,783
2015-12-02,64.06,64.32,63.1,63.73,116873.0,63.843,864
2015-12-03,64.0,64.0,61.59,61.98,180617.0,62.351,1446
2015-12-04,62.04,62.88,61.94,62.8,207896.0,62.38,1726
2015-12-07,62.8,62.9,61.96,62.15,186012.0,62.191,1228
2015-12-08,61.91,63.54,61.72,63.43,167989.0,63.097,1387
2015-12-09,63.15,63.66,62.54,62.83,183660.0,63.018,1489
2015-12-10,63.02,63.5,62.79,63.04,98888.0,63.083,839
2015-12-11,62.2,62.98,61.37,61.58,205023.0,61.936,1402
2015-12-14,61.57,62.22,60.85,61.42,398664.0,61.528,2930
2015-12-15,61.84,62.29,61.09,61.87,159284.0,61.645,1371
2015-12-16,62.32,62.82,61.55,62.64,140243.0,62.198,1226
2015-12-17,63.01,63.4,61.81,62.05,210867.0,62.261,1738
2015-12-18,61.73,61.89,60.59,60.62,401167.0,61.432,1668
2015-12-21,60.95,61.15,60.27,60.74,162325.0,60.597,1449
2015-12-22,61.08,61.28,60.52,61.07,163376.0,60.82,1383
2015-12-23,61.35,61.52,60.58,60.92,173456.0,60.903,1434
2015-12-24,60.92,61.96,60.9,61.62,58745.0,61.415,503
2015-12-28,61.44,62.1,61.14,62.08,95596.0,61.761,824
2015-12-29,62.35,62.72,61.63,62.18,100994.0,62.139,889
2015-12-30,62.22,62.36,61.78,61.98,131335.0,62.014,1116
2015-12-31,61.81,61.94,60.19,60.22,157646.0,60.793,1360
2016-01-04,59.28,59.46,56.96,57.6,330210.0,57.696,2694
