date,open,high,low,close,volume,average,barCount
2015-10-13,42.54,43.12,42.19,42.32,2429279.0,42.627,15358
2015-10-14,42.34,42.96,42.13,42.38,2103681.0,42.485,14005
2015-10-15,41.69,43.12,41.58,43.0,2092788.0,42.741,14708
2015-10-16,43.21,44.14,43.19,43.93,3479206.0,43.713,19995
2015-10-19,43.81,44.01,43.23,43.78,1668247.0,43.639,12263
2015-10-20,43.66,43.78,42.83,43.09,2218174.0,43.208,14603
2015-10-21,43.38,43.56,39.53,41.66,9100772.0,41.327,47950
2015-10-22,41.69,41.9,39.97,40.8,7869888.0,40.786,42603
2015-10-23,41.16,43.18,41.05,42.54,6561094.0,42.627,39373
2015-10-26,42.44,42.96,41.99,42.35,2558751.0,42.413,15917
2015-10-27,42.51,43.36,42.29,42.74,3127606.0,42.848,20159
2015-10-28,42.69,43.79,42.31,43.34,2816194.0,43.256,20940
2015-10-29,43.31,43.91,43.24,43.55,2444562.0,43.535,18106
2015-10-30,43.38,43.69,42.89,43.01,3095319.0,43.154,21192
2015-11-02,43.54,44.52,43.16,44.24,3883721.0,44.019,25319
2015-11-03,46.47,46.9,45.4,46.63,6897194.0,46.338,39297
2015-11-04,46.65,47.14,46.23,46.55,6035107.0,46.57,37316
2015-11-05,46.56,46.78,44.92,45.46,4281069.0,45.493,23924
2015-11-06,45.4,46.29,44.83,45.97,2927534.0,45.723,20338
2015-11-09,45.78,46.04,44.96,45.8,3164000.0,45.657,15385
2015-11-10,45.85,46.04,45.26,45.88,2492144.0,45.626,14779
2015-11-11,45.92,45.92,45.05,45.08,1878457.0,45.408,10505
2015-11-12,45.01,45.19,44.46,44.53,2384831.0,44.81,15732
2015-11-13,44.37,45.08,44.2,44.85,1904687.0,44.801,12909
2015-11-16,45.0,45.42,44.73,45.3,2612267.0,45.123,16639
2015-11-17,45.03,46.11,44.73,45.77,3152490.0,45.771,20787
2015-11-18,45.81,47.2,45.36,47.18,2777311.0,46.627,17853
2015-11-19,47.05,47.21,46.57,46.9,2164002.0,46.899,13907
2015-11-20,47.0,47.57,46.86,47.32,2838789.0,47.214,16075
2015-11-23,47.23,47.43,46.61,46.96,2032854.0,47.044,12857
