earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-02-23,0.51,0,-1,-0.025469728601252586,8,0
2016-02-24,0.5,1,0,-0.00479488545551411,4,7
2016-02-24,0.59,0,1,0.16244541484716152,4,1
2016-02-25,1.53,1,0,-0.011710323574730432,7,6
2016-02-25,1.15,1,-1,-0.10052831311853555,3,7
2016-02-26,0.66,1,1,0.0702585175699067,7,8
2016-03-01,7.43,1,0,-0.016980624671848778,3,8
2016-03-01,0.66,1,-1,-0.09092483546934534,6,6
2016-03-10,1.69,1,1,0.216731030163866,7,1
2016-03-16,1.55,0,-1,-0.06709723717258705,6,9
2016-03-22,0.55,1,-1,-0.11707238949391409,5,9
2016-03-30,0.39,1,-1,-0.157286336933864,6,8
2016-03-30,0.85,1,1,0.06808447792054349,8,5
2016-04-05,1.21,1,-1,-0.030620095399292124,3,7
2016-04-07,0.74,1,-1,-0.08787759905845424,7,9
2016-04-18,0.38,1,-1,-0.06826017007584462,3,6
2016-04-19,1.05,1,1,0.03648046429681843,2,6
2016-04-20,0.95,1,1,0.08034042553191488,4,7
2016-04-20,1.11,1,1,0.15599060297572437,7,9
2016-04-20,0.5,1,-1,-0.0487546369899312,3,6
2016-04-20,0.45,0,1,0.0681578392065836,8,7
2016-04-21,0.52,1,1,0.0905587668593449,7,8
2016-04-21,0.24,1,1,0.14698162729658795,6,7
2016-04-21,1.26,1,0,-0.0006215040397763558,4,6
2016-04-21,0.39,0,0,0.0038141470180304937,4,7
2016-04-21,15.79,1,0,0.020311873363372607,2,6
2016-04-22,1.23,1,-1,-0.06260787698101357,0,6
2016-04-26,-0.88,1,1,0.06115107913669062,7,0
2016-04-26,0.44,1,-1,-0.057142857142857106,6,4
2016-04-26,0.47,1,1,0.184408389394539,6,3
2016-04-27,0.8,1,1,0.05141152168923576,6,8
2016-04-27,0.87,1,1,0.03307336799537849,6,2
2016-04-27,2.59,1,1,0.08885116015846048,3,4
2016-04-27,0.51,1,1,0.0292280012009406,6,5
2016-04-27,0.07,0,1,0.03430962343096236,4,2
2016-04-27,0.94,1,1,0.06958061002178649,3,6
2016-04-28,0.05,1,1,0.1503941782898727,7,6
2016-04-28,0.29,0,1,0.10899411599887926,2,7
2016-04-28,0.68,1,-1,-0.06637168141592922,5,4
2016-04-28,0.89,0,1,0.2308074123097287,5,4
2016-04-28,0.09,1,0,0.007601278396821367,7,1
2016-04-29,0.57,1,-1,-0.12639735772357727,8,4
2016-05-04,-0.04,1,1,0.09007092198581558,8,3
2016-05-04,10.54,1,1,0.1397187411854778,7,5
2016-05-04,1.36,1,-1,-0.08389319552110246,7,3
2016-05-05,1.07,1,1,0.07389540620546003,9,3
2016-05-05,2.38,1,1,0.09428366908681868,4,5
2016-05-05,0.12,1,1,0.11085870059064051,8,5
2016-05-10,0.38,0,-1,-0.20094258783204805,8,2
2016-05-12,0.88,1,1,0.2713450292397661,8,0
2016-05-17,1.44,1,1,0.033239735903468126,2,4
2016-05-17,0.38,1,1,0.04657387580299791,2,2
2016-05-18,0.87,1,-1,-0.04295016278487344,3,3
2016-05-19,0.73,0,1,0.23947418555915412,3,2
2016-05-24,0.44,1,1,0.2316806984720923,6,7
2016-05-24,10.77,0,-1,-0.02967575524666828,1,2
2016-05-25,0.53,1,1,0.0607692307692307,7,0
2016-05-26,0.11,1,1,0.24013528748590765,6,0
2016-05-26,1.45,1,1,0.09307312888698258,7,5
2016-06-08,0.3,0,-1,-0.0518528761061947,5,5
2016-06-21,0.9,0,1,0.1688172043010753,7,3
2016-06-21,0.95,1,-1,-0.05466092084372882,3,7
2016-06-28,0.49,1,1,0.08724983134697555,4,0
2016-06-28,0.49,1,-1,-0.034101215309269045,2,1
2016-06-30,1.1,1,0,-0.022857142857142822,1,6
2016-07-13,0.75,1,0,-0.00929573026626747,1,6
2016-07-18,0.41,1,0,0.004563394178589104,1,3
2016-07-19,1.28,0,-1,-0.104989501049895,0,6
2016-07-20,0.43,1,-1,-0.030404276645506188,4,8
2016-07-20,1.16,0,-1,-0.27576601671309187,1,2
2016-07-20,1.25,1,1,0.09917355371900817,4,5
2016-07-21,1.86,1,0,-0.018034825870646715,3,7
2016-07-21,0.49,0,-1,-0.08894645941278063,1,6
2016-07-21,0.87,0,-1,-0.1683615819209039,6,2
2016-07-21,0.37,1,-1,-0.1276887871853548,4,5
2016-07-21,0.98,1,1,0.10915445624411889,3,7
2016-07-21,22.01,0,-1,-0.08658959537572251,1,4
2016-07-21,0.66,0,-1,-0.18904593639575976,2,7
2016-07-25,0.52,0,1,0.16712761754247335,6,5
2016-07-26,1.09,1,-1,-0.10426479949077018,1,2
2016-07-26,1.45,1,-1,-0.04946434549715442,0,5
2016-07-27,0.1,0,1,0.10436893203883503,0,5
2016-07-27,0.75,0,-1,-0.02796148588511336,4,8
2016-07-27,2.65,0,-1,-0.12318087318087306,0,7
2016-07-27,1.03,1,0,0.020830420802460434,4,8
2016-07-28,1.07,1,-1,-0.10638080653394591,8,4
2016-07-28,0.52,0,-1,-0.07424960505529223,3,7
2016-07-28,-1.8,1,-1,-0.1763636363636363,6,9
2016-07-28,0.92,1,0,-0.01746343593101952,2,8
2016-07-28,0.83,1,1,0.12850407201028702,5,8
2016-07-28,0.55,1,-1,-0.06600756033730745,4,6
2016-07-28,0.09,1,0,0.02319451765946238,3,5
2016-08-02,1.09,1,1,0.1177839174058457,7,1
2016-08-03,-0.07,0,-1,-0.11515940143135978,7,5
2016-08-03,1.59,1,1,0.04494170740880031,7,1
2016-08-04,3.47,1,-1,-0.10872815624707975,2,7
2016-08-04,0.53,1,-1,-0.033855482566952914,1,2
2016-08-04,13.93,1,1,0.11590134491097571,5,4
2016-08-04,0.3,1,1,0.1451942740286299,4,2
2016-08-09,0.85,1,0,0.017962466487935706,6,8
2016-08-09,0.45,1,-1,-0.10429292929292935,4,8
2016-08-10,1.06,1,0,-0.014719411223551136,5,7
2016-08-16,1.97,0,-1,-0.07947117150201988,0,6
2016-08-16,0.42,1,0,-0.023017902813299195,0,7
2016-08-17,1.37,0,-1,-0.11095119717388464,0,4
2016-08-18,0.71,1,1,0.045189056255763874,2,8
2016-08-23,0.57,1,1,0.13392405063291138,5,5
2016-08-24,0.58,0,-1,-0.040246555474981856,7,3
2016-08-25,1.43,1,0,-0.005728860113792459,2,7
2016-09-01,0.38,0,0,0.0039375820329591695,2,3
2016-09-20,1.01,1,0,-0.010556621880998027,2,2
2016-09-21,0.88,0,1,0.21435142594296225,6,1
2016-09-22,14.3,1,1,0.08729274350540374,0,1
2016-09-26,1.92,1,1,0.09803516028955536,4,5
2016-09-27,0.73,1,0,-0.017840375586854515,1,2
2016-10-04,0.88,1,1,0.23034437946718636,1,3
2016-10-05,1.09,0,1,0.0814249363867684,0,3
2016-10-17,2.03,1,1,0.16611418047882137,1,1
2016-10-18,0.96,1,1,0.13592291843412907,1,4
2016-10-19,1.3,0,1,0.1362011586342908,3,5
2016-10-19,0.45,1,1,0.0937284631288766,5,2
2016-10-19,0.67,1,1,0.13384615384615386,6,0
2016-10-19,1.24,0,1,0.0723941459054853,0,2
2016-10-20,0.43,0,1,0.11542497376705158,3,2
2016-10-20,28.46,0,1,0.20346791545374002,0,2
2016-10-21,1.62,1,1,0.06586246367878845,0,2
2016-10-25,1.72,1,1,0.11272957568081071,2,7
2016-10-25,0.27,0,1,0.0978260869565217,5,3
2016-10-26,2.9,0,1,0.07350326022525183,0,4
2016-10-26,1.01,1,1,0.1371517907902218,2,4
2016-10-26,0.1,0,1,0.15604395604395596,0,3
2016-10-26,0.14,1,1,0.25514705882352945,6,5
2016-10-26,0.69,1,1,0.29766009366634977,2,3
