earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-02-23,1.62,0,1,0.12899185973700691,5,7
2016-02-24,1.52,0,-1,-0.14757849243676113,7,5
2016-02-25,0.87,1,-1,-0.033559212649241665,4,9
2016-02-25,0.23,0,1,0.1311926605504587,9,0
2016-02-25,0.62,1,1,0.06590441932168545,6,4
2016-03-01,1.01,0,1,0.1291100672844992,8,8
2016-03-03,0.57,1,-1,-0.04505971769815428,7,8
2016-03-10,1.3,1,1,0.05728737795553453,7,5
2016-03-23,0.65,1,1,0.1623207301173402,2,9
2016-03-29,0.37,1,1,0.061347233360064056,3,8
2016-04-07,0.68,1,1,0.04874651810584958,5,8
2016-04-19,0.98,0,0,0.01548965657800887,1,8
2016-04-20,0.45,1,0,-0.00022904260192391232,0,7
2016-04-22,1.53,1,1,0.048094445764994914,2,4
2016-04-26,1.1,1,1,0.2188841201716738,3,3
2016-04-26,0.86,1,1,0.07610464388534233,1,4
2016-04-27,0.48,1,0,0.01844167819271547,8,5
2016-04-27,0.94,1,1,0.08012360666593096,3,2
2016-04-28,0.63,0,1,0.0494923857868021,3,5
2016-04-28,1.41,1,1,0.05344000000000006,9,9
2016-04-28,0.72,1,1,0.07016424812629563,2,3
2016-04-29,0.27,1,1,0.09854014598540145,8,1
2016-05-02,0.46,1,1,0.07379921665635963,4,3
2016-05-03,1.21,1,1,0.03605415860735007,3,4
2016-05-03,0.54,0,0,0.015075888764388347,4,6
2016-05-03,0.73,1,0,-0.01900161030595824,4,6
2016-05-03,0.42,0,1,0.13455578512396696,8,7
2016-05-04,0.73,1,1,0.07014583584428115,4,6
2016-05-05,0.97,1,1,0.10257138798124732,2,6
2016-05-05,0.43,1,1,0.038000826104915245,3,6
2016-05-09,1.07,1,1,0.07506857225350085,8,4
2016-05-18,1.29,1,1,0.04831494184312548,6,0
2016-05-18,0.4,1,1,0.09301668080294033,7,0
2016-05-20,0.65,1,-1,-0.03622704507512524,3,4
2016-05-26,0.89,1,-1,-0.03867776028783447,8,2
2016-05-26,1.03,1,-1,-0.15999109924343566,8,5
2016-06-09,1.44,1,0,-0.013588463671658401,1,6
2016-06-16,0.7,1,-1,-0.12194428652643545,7,5
2016-06-29,0.66,1,-1,-0.08777341559169927,0,7
2016-06-30,1.54,1,1,0.04535175111545741,5,6
2016-06-30,0.38,1,-1,-0.084435209671326,1,8
2016-06-30,0.52,0,-1,-0.026294820717131528,1,8
2016-07-19,1.15,0,-1,-0.036828901154039154,1,6
2016-07-25,1.53,1,-1,-0.1402328394315089,1,6
2016-07-27,1.25,1,-1,-0.09839583120465933,2,8
2016-07-27,0.81,1,0,-0.018328118015198985,0,7
2016-07-27,0.6,1,-1,-0.035051546391752605,1,4
2016-07-27,0.44,1,0,-0.006337709370756024,6,6
2016-07-28,0.7,1,-1,-0.04379954319494834,0,5
2016-07-28,0.85,1,-1,-0.07493680028891306,8,9
2016-07-28,0.79,1,1,0.05285540704738745,5,3
2016-08-02,1.11,0,1,0.04014049172102358,6,4
2016-08-02,0.79,1,0,0.0166337094335234,0,7
2016-08-02,0.41,0,1,0.07580241292966079,7,7
2016-08-03,1.3,1,-1,-0.14330520498842506,0,3
2016-08-04,0.85,1,-1,-0.0533843901340242,3,4
2016-08-04,0.43,1,-1,-0.1289295662554715,1,2
2016-08-04,0.33,0,-1,-0.16795865633074938,8,4
2016-08-04,0.91,0,-1,-0.09212730318257964,4,7
2016-08-08,1.21,1,-1,-0.20827178729689805,5,9
2016-08-15,0.64,1,1,0.040314839700518225,1,6
2016-08-17,1.23,1,1,0.08293029871977238,6,8
2016-08-18,1.07,1,-1,-0.05850844664194471,5,3
2016-08-18,0.36,1,-1,-0.08872219348163476,6,4
2016-08-19,0.43,1,-1,-0.12924053403370545,3,5
2016-08-23,1.86,1,-1,-0.1225049198763003,3,6
2016-08-25,1.08,0,0,-0.012450331125827784,4,3
2016-08-25,0.72,0,1,0.03929824561403508,8,4
2016-09-01,0.46,0,0,-0.01576303481725267,5,2
