earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-02-25,-0.28,0,1,0.044542032622333694,9,0
2016-04-19,1.68,1,1,0.10177848212713508,1,5
2016-04-19,0.49,1,1,0.09075677185143814,4,8
2016-04-19,1.75,1,1,0.06787127603972226,3,6
2016-04-20,0.41,1,0,-0.01914311759343672,6,8
2016-04-20,1.24,1,1,0.07062482846949043,1,7
2016-04-21,1.12,0,1,0.12881806108897748,3,8
2016-04-21,1.08,1,1,0.1099104661932696,1,7
2016-04-21,4.79,1,0,0.017973040439341014,8,5
2016-04-25,2.02,1,1,0.09285451873622336,4,6
2016-04-26,0.37,0,1,0.029312977099236668,8,6
2016-04-26,0.36,1,1,0.09370755998189227,3,7
2016-04-26,0.83,0,1,0.09005358776630507,5,6
2016-04-26,0.68,0,1,0.21588702559576342,3,5
2016-04-26,1.26,1,1,0.1813269288501951,3,7
2016-04-26,0.24,1,1,0.05067474524924253,8,9
2016-04-27,3.46,1,-1,-0.0770833333333333,6,5
2016-04-27,1.98,1,-1,-0.031947224075309484,7,9
2016-04-27,0.47,1,1,0.1282429245283019,6,8
2016-04-27,0.09,0,1,0.10904899135446679,9,4
2016-04-27,0.28,1,1,0.11223087494273949,5,8
2016-04-27,-0.06,0,1,0.3778047301394785,9,9
2016-04-28,3.03,0,-1,-0.08116993538147599,6,8
2016-04-28,0.53,1,1,0.12752808988764042,4,8
2016-04-28,2.9,1,1,0.0819962097283638,5,8
2016-04-28,0.37,1,0,0.0010575793184489238,2,6
2016-04-28,2.0,1,1,0.13275754607782028,2,8
2016-04-28,1.43,1,1,0.0787662503186338,4,7
2016-04-28,1.15,1,1,0.09737704918032783,7,7
2016-04-28,0.5,1,1,0.23493558664635003,8,5
2016-04-28,-0.22,0,1,0.25645645645645665,8,9
2016-04-28,1.8,1,1,0.10114384748700175,5,6
2016-04-29,0.51,1,1,0.2660647279549718,4,7
2016-05-03,0.89,1,1,0.1982162079040443,4,7
2016-05-03,0.67,1,1,0.056586826347305406,2,8
2016-05-03,0.25,1,1,0.06642657062825132,5,3
2016-05-03,0.71,1,0,0.0015304560759105343,2,5
2016-05-03,0.76,1,1,0.1633285646161183,9,1
2016-05-03,1.18,1,-1,-0.06227141482194416,1,3
2016-05-03,1.71,1,-1,-0.033458646616541375,5,7
2016-05-04,0.92,1,-1,-0.04641962284056437,2,4
2016-05-04,1.86,1,0,-0.0016081787375796974,4,2
2016-05-04,3.14,0,1,0.12009264620729596,7,7
2016-05-04,0.48,1,1,0.06571310116086224,5,9
2016-05-04,0.98,1,1,0.07764705882352936,6,6
2016-05-05,2.18,1,1,0.05395146235220919,2,7
2016-05-05,2.57,0,1,0.14339775645357483,9,3
2016-05-05,2.46,1,1,0.15101046856631023,4,6
2016-05-06,2.32,1,-1,-0.03493682447861158,5,2
2016-05-09,0.12,0,1,0.13607293509320997,9,5
2016-05-16,0.44,1,1,0.052015311866696744,5,7
2016-05-18,0.9,0,0,0.02000000000000008,3,4
2016-07-19,1.74,1,-1,-0.08430557775291671,0,7
2016-07-19,0.62,1,-1,-0.03059395801331286,2,6
2016-07-19,1.96,1,0,0.00943923926723531,0,4
2016-07-20,0.55,1,-1,-0.05343866171003711,4,7
2016-07-21,5.21,1,0,0.01082732863017318,8,5
2016-07-21,1.39,1,0,-0.023583696488080022,0,7
2016-07-21,1.34,1,0,-0.01541176470588238,0,6
2016-07-25,3.08,1,-1,-0.1053670573719925,6,5
2016-07-25,1.25,1,0,-0.011682892906815068,0,7
2016-07-26,1.58,1,-1,-0.12693773824650584,1,8
2016-07-26,0.25,1,-1,-0.17640891218872862,8,6
2016-07-26,0.65,1,-1,-0.051320083061406126,6,8
2016-07-26,0.86,0,-1,-0.07961630695443646,1,8
2016-07-26,1.94,0,-1,-0.06316998468606431,2,5
2016-07-26,0.46,1,0,-0.018211920529801376,2,5
2016-07-27,3.52,1,-1,-0.35840570719602977,5,7
