earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-02-24,0.11,1,1,0.13609813084112138,8,2
2016-02-25,-0.28,0,1,0.114376187460418,4,5
2016-02-25,0.24,1,1,0.04616522290302139,9,1
2016-02-26,0.48,0,1,0.1443600867678959,6,2
2016-02-26,0.33,1,1,0.24336283185840715,7,9
2016-02-29,0.06,0,1,0.12361557699178281,9,0
2016-04-19,0.39,1,1,0.1459027315123251,6,8
2016-04-21,0.11,0,1,0.12672364672364678,3,5
2016-04-25,0.04,0,0,-0.001937984496124039,7,3
2016-04-26,9.76,1,-1,-0.040581818181818274,6,3
2016-04-26,1.18,1,1,0.0616385911179174,5,7
2016-04-26,0.25,0,1,0.20218671152228757,4,4
2016-04-26,1.39,0,-1,-0.0374279843680755,5,3
2016-04-27,0.1,1,1,0.0652956298200514,9,6
2016-04-27,1.73,1,0,0.015927823568723465,3,3
2016-04-27,0.31,1,1,0.11998592540464449,3,5
2016-04-28,0.46,0,1,0.10974854453115321,3,5
2016-04-28,0.36,1,-1,-0.03982450219372257,9,9
2016-04-28,0.27,1,1,0.18731529893157522,5,4
2016-04-28,0.33,1,1,0.034218450588557346,7,9
2016-04-28,1.19,1,1,0.06427761397142216,5,4
2016-04-29,0.24,1,1,0.11742660836976881,9,1
2016-04-29,0.58,1,1,0.09724196758601071,5,5
2016-04-29,0.44,1,1,0.22261258383902915,7,4
2016-05-02,-0.05,0,1,0.16853452876507638,4,7
2016-05-02,0.66,1,-1,-0.032628262826282534,7,1
2016-05-02,0.07,1,1,0.16126426335453903,8,6
2016-05-03,0.42,0,1,0.04140898090884644,8,7
2016-05-03,0.49,1,1,0.07675381827595124,2,4
2016-05-04,0.58,0,1,0.03211693347916878,5,3
2016-05-04,1.1,1,1,0.04692474213676305,1,4
2016-05-04,-0.53,0,1,0.12242739278914441,7,6
2016-05-05,0.04,0,1,0.11446740858505558,9,9
2016-05-06,0.24,1,1,0.045880452342487825,7,6
2016-07-19,0.52,1,0,0.015503875968992192,1,7
2016-07-21,0.22,0,-1,-0.039951451400829396,0,6
2016-07-25,1.44,1,-1,-0.08524284617914693,1,8
2016-07-26,0.06,1,-1,-0.050485436893203894,2,8
2016-07-26,0.59,1,-1,-0.0729229836264402,3,8
2016-07-26,0.63,1,-1,-0.11366750811395604,0,8
2016-07-27,0.66,1,-1,-0.17899511514305652,3,7
2016-07-27,0.6,0,-1,-0.12957610789980736,2,7
2016-07-27,0.46,1,-1,-0.17342130065975495,1,8
2016-07-27,0.09,1,-1,-0.0723938223938224,7,7
2016-07-28,0.19,0,-1,-0.11344055140723718,3,7
2016-07-28,0.27,0,-1,-0.1729396949769134,2,8
2016-07-28,0.79,1,-1,-0.1141868512110727,1,6
2016-07-28,0.26,1,-1,-0.06582608695652167,5,9
2016-07-28,1.61,0,-1,-0.1534823371839946,3,5
2016-07-28,0.37,0,0,0.003109613889608702,0,8
2016-07-28,0.52,1,-1,-0.08752196836555355,9,4
2016-07-29,1.1,1,-1,-0.10808967692438842,2,4
2016-07-29,0.42,1,-1,-0.11507314524555906,2,7
2016-07-29,0.47,1,-1,-0.1710452766908888,8,8
2016-08-01,-1.72,0,0,-0.019455608330288726,1,9
2016-08-02,0.54,1,-1,-0.14820552543248117,3,8
2016-08-02,0.35,1,-1,-0.17285731458107942,1,8
2016-08-03,0.05,1,-1,-0.18202567760342356,4,9
2016-08-03,0.65,1,-1,-0.08801830910070005,1,3
2016-08-04,0.24,1,-1,-0.1500794070937004,1,7
2016-08-04,0.78,1,-1,-0.1649334063127167,0,7
2016-08-05,0.17,0,-1,-0.0753784368242199,5,9
2016-10-20,0.26,0,-1,-0.07279814580699533,1,1
2016-10-20,0.52,1,0,-0.011641221374045791,3,2
2016-10-24,2.59,1,1,0.05195661293222261,1,2
2016-10-25,0.68,1,1,0.051916347953454386,1,1
2016-10-25,0.11,1,0,0.021034180543383175,2,3
2016-10-25,0.56,1,0,-0.02044153720359771,2,2
2016-10-26,0.11,1,1,0.04942767950052044,6,5
2016-10-26,0.27,0,1,0.06344104212485197,4,2
2016-10-26,0.93,1,1,0.1038390706898994,3,2
2016-10-26,1.78,1,1,0.12271940667490726,1,3
2016-10-27,1.0,1,1,0.06604224409825109,3,1
2016-10-27,-0.13,0,-1,-0.05549220828582278,2,1
2016-10-27,0.55,0,0,-0.011538792732282694,2,7
2016-10-27,3.21,1,1,0.035156250000000076,3,1
2016-10-27,0.12,0,1,0.12460857358816549,5,6
2016-10-27,0.5,0,1,0.3285824345146379,8,3
2016-10-27,1.17,1,1,0.08090758162700612,3,4
2016-10-28,0.42,1,-1,-0.07306273062730631,3,2
2016-10-28,0.23,1,1,0.04978282659538931,7,5
2016-10-31,0.11,0,1,0.03232417326502095,5,2
2016-11-01,0.16,1,1,0.0776319463836916,3,6
2016-11-01,0.57,1,1,0.030518819938962275,2,1
2016-11-01,0.27,0,1,0.14917471192774834,6,1
2016-11-02,0.82,1,1,0.02745612118563841,1,0
2016-11-02,0.83,1,1,0.10176847450621485,3,2
2016-11-02,0.14,1,1,0.21577882670262988,6,2
2016-11-02,0.07,0,1,0.14161144053017075,4,0
2016-11-02,0.93,1,1,0.04349802970597136,2,0
2017-01-24,0.82,1,1,0.048464954624444834,5,4
2017-01-25,0.35,1,1,0.07112828087717295,4,5
2017-01-30,0.87,1,1,0.060371959942775374,2,5
2017-01-30,-0.31,0,1,0.03374842086266026,3,7
2017-01-31,0.94,1,0,-0.014852634021814928,4,7
2017-01-31,0.75,1,1,0.08981636060100172,1,2
2017-02-01,1.76,1,1,0.07229121567733848,1,4
2017-02-01,0.46,0,0,0.003481466311693666,4,3
2017-02-02,2.98,1,1,0.09588488434642274,1,2
2017-02-02,0.16,1,-1,-0.16820925553319918,3,2
2017-02-03,0.14,0,1,0.06874602164226597,5,5
2017-02-07,0.45,1,0,0.0025562994522214696,3,5
2017-02-08,0.53,1,-1,-0.11253701875616975,3,5
2017-02-10,0.58,1,0,0.01863057324840767,6,4
2017-02-10,0.93,1,1,0.03827196288779357,5,4
2017-02-13,0.8,1,-1,-0.06861355259427279,1,5
2017-02-15,0.86,1,1,0.1011844150276006,4,7
2017-02-16,0.49,1,1,0.10264042246759479,6,5
2017-02-21,0.65,1,0,-0.023998973305954883,6,2
2017-02-22,0.91,1,0,0.012636165577342115,4,3
2017-02-22,0.13,0,1,0.17352503718393653,6,8
2017-02-22,2.03,1,-1,-0.06196327123794422,4,4
2017-02-22,0.17,1,0,0.0011092623405435148,6,5
2017-02-22,0.33,1,-1,-0.05806554247534201,5,6
2017-02-23,0.26,0,-1,-0.05799457994579948,5,9
2017-02-24,0.06,0,-1,-0.08646501680415516,7,7
2017-02-27,0.47,0,1,0.09713389668089546,3,8
2017-02-27,0.04,0,1,0.11410555411591944,4,7
2017-04-18,0.38,1,1,0.10718232044198896,2,8
2017-04-24,0.09,1,1,0.043712898003237924,0,6
2017-04-24,0.33,1,1,0.03182348573247056,0,7
2017-04-25,0.39,1,1,0.031862745098039186,0,5
2017-04-25,0.27,0,0,-0.02128018915723692,2,6
2017-04-25,0.63,1,-1,-0.04334511189634862,1,5
2017-04-26,0.57,0,1,0.0934929673431645,0,7
2017-04-26,0.15,1,0,0.01693275278180928,2,3
2017-04-26,0.36,0,1,0.05000000000000006,0,5
2017-04-26,1.62,0,-1,-0.06910798122065727,0,5
2017-04-26,0.11,1,1,0.1596958174904942,0,7
2017-04-26,0.64,1,1,0.042209072978303855,2,7
2017-04-26,1.72,1,0,-0.0019125537905752815,0,7
2017-04-27,2.72,1,1,0.08258682046876928,0,6
2017-04-27,0.24,0,1,0.04804372842347531,0,6
2017-04-27,0.43,1,1,0.05082379223680537,5,2
2017-04-27,0.41,1,0,-0.014454893765238563,1,7
2017-04-27,0.67,1,1,0.09845958392885505,0,7
2017-04-28,0.21,1,1,0.03490304709141268,3,7
2017-04-28,0.55,1,1,0.052837267469126085,1,7
2017-04-28,0.22,1,0,-0.01667659321024405,1,5
2017-05-01,0.31,1,1,0.06551403318343943,0,8
2017-05-01,0.29,0,1,0.056302374301676,1,5
2017-05-03,0.78,0,0,0.012024353120243409,0,3
2017-05-03,0.04,0,0,-0.0016722408026754903,1,6
2017-05-04,0.39,0,1,0.08912093249150077,0,4
2017-05-05,0.19,0,1,0.052639127940332785,0,4
2017-05-09,0.29,1,1,0.060384554266645546,2,1
2017-07-18,0.5,1,1,0.08632734530938133,0,6
2017-07-19,0.31,1,1,0.061169939344093795,0,1
2017-07-25,0.53,1,0,-0.007125890736342102,0,3
2017-07-26,0.3,0,-1,-0.07782571182053503,2,5
2017-07-26,0.09,1,1,0.05391621129326049,3,9
2017-07-26,1.59,0,1,0.02990720193665527,1,3
2017-07-26,0.03,0,0,0.002843846949327803,0,2
2017-07-26,0.28,0,1,0.041755888650963656,4,3
2017-07-26,0.42,1,-1,-0.03090379008746362,0,1
2017-07-26,0.31,1,-1,-0.12797335870599436,8,4
2017-07-27,1.08,1,-1,-0.040882641880148195,0,5
2017-07-27,0.65,1,1,0.0829125697581716,3,8
2017-07-27,0.36,0,0,0.023237321081463116,0,2
2017-07-27,0.8,1,0,0.017854561225965005,0,7
2017-07-28,0.28,1,1,0.07843731072077517,1,5
2017-07-28,0.49,1,-1,-0.06322387246218832,0,2
2017-07-28,0.43,0,0,0.01727982162764768,0,3
2017-07-28,0.42,0,-1,-0.06087602078693385,0,2
2017-07-28,0.3,1,1,0.09278067526763663,2,4
2017-07-31,0.08,0,1,0.14370952484901403,0,6
2017-07-31,0.35,0,0,0.024378150566068825,0,5
2017-08-01,0.78,1,0,0.007715669375359088,0,2
2017-08-01,0.69,1,1,0.048700479434771626,4,5
2017-08-02,0.58,0,1,0.08750222538721736,0,6
2017-08-02,1.05,1,-1,-0.036697247706421986,2,8
2017-08-03,0.03,0,-1,-0.10083752093802349,1,0
2017-08-03,0.28,0,0,-0.021729357110744835,3,8
2017-08-03,1.2,1,-1,-0.034811305690104814,0,3
2017-08-10,0.02,0,1,0.062956204379562,0,2
2017-10-17,0.57,1,0,-0.0127086204256622,0,5
2017-10-18,0.21,0,1,0.05221856229412905,0,2
2017-10-24,0.37,1,-1,-0.0787978468899521,0,3
2017-10-24,0.31,1,-1,-0.1931675458427532,3,4
2017-10-25,0.32,1,-1,-0.07747005988023954,0,1
2017-10-25,1.65,0,-1,-0.06591254101170367,2,4
2017-10-25,0.14,0,-1,-0.11752007598652965,3,3
2017-10-25,1.0,1,-1,-0.07992378660248696,0,3
2017-10-25,0.24,1,-1,-0.17075831969448987,7,1
2017-10-25,0.14,1,1,0.2153473902523331,1,5
2017-10-26,0.38,0,-1,-0.0860273972602739,0,2
2017-10-27,0.44,0,-1,-0.20221343873517786,0,0
2017-10-27,1.65,1,0,0.012108533029035098,4,3
2017-10-27,0.34,1,0,-0.023027239539455218,1,7
2017-10-30,0.41,1,1,0.038300038172795405,0,2
