earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-02-23,0.88,1,1,0.05661211853162323,5,8
2016-02-24,0.34,1,1,0.14844533600802393,9,7
2016-02-26,0.27,1,1,0.18142780461621055,8,9
2016-02-26,1.47,1,1,0.09241607956900126,7,8
2016-02-29,-0.56,0,1,0.3783303730017762,9,7
2016-04-26,0.8,1,-1,-0.03134535367545064,8,2
2016-04-26,1.35,1,1,0.07550200803212852,5,2
2016-04-26,1.52,1,1,0.11182795698924722,3,2
2016-04-27,0.58,1,1,0.06626626626626617,1,2
2016-04-28,1.02,0,1,0.09133858267716531,4,2
2016-04-28,0.39,1,1,0.08367346938775513,2,3
2016-04-28,0.67,0,-1,-0.042773645058448446,4,3
2016-04-28,0.59,0,1,0.11061946902654868,3,2
2016-04-29,0.04,0,1,0.06543967280163615,3,2
2016-04-29,0.91,1,0,-0.01689408706952569,3,4
2016-05-02,0.82,0,1,0.0796707129900934,4,3
2016-05-03,0.6,1,1,0.07692307692307687,6,3
2016-05-03,1.09,1,1,0.06772046589018303,3,3
2016-05-03,1.13,0,1,0.05261184703824054,3,3
2016-05-04,1.4,0,1,0.07394318336278391,3,4
2016-05-04,1.47,0,0,0.015174506828528155,6,5
2016-05-04,0.82,1,1,0.08098055790363481,3,4
2016-05-04,0.77,0,0,0.018989547038327587,2,3
2016-05-04,0.96,1,1,0.06153632448951253,2,3
2016-05-05,1.18,0,1,0.04840884573894287,3,4
2016-05-05,0.24,1,-1,-0.17847938144329895,9,9
2016-05-06,0.68,0,0,0.007955449482895754,7,3
2016-05-09,0.13,0,1,0.06375545851528389,8,2
2016-05-10,0.32,1,1,0.03180372557928211,7,5
2016-05-10,0.43,1,1,0.05794392523364485,4,2
2016-07-26,0.98,1,-1,-0.03638781431334629,1,7
2016-07-27,0.74,1,-1,-0.052196770559519365,1,7
2016-07-27,0.42,1,0,-0.012241054613935988,1,5
2016-07-27,0.57,1,-1,-0.09163160355306221,2,5
2016-07-28,0.45,1,-1,-0.08587870739265167,1,5
2016-07-28,0.95,1,-1,-0.0965367965367965,1,6
2016-07-28,0.64,0,-1,-0.08633954522140544,1,5
2016-07-28,0.56,1,0,-0.01460481099656372,7,6
2016-07-28,0.66,0,-1,-0.04457303722239591,1,5
2016-07-28,0.85,0,-1,-0.08632721633497019,1,6
2016-07-29,0.57,0,-1,-0.0890063890724829,2,4
2016-08-01,0.37,0,-1,-0.0888174171202376,3,6
2016-08-02,0.08,1,-1,-0.1282557221783741,3,5
2016-08-02,1.08,0,-1,-0.05169545745361492,2,5
2016-08-02,3.11,1,-1,-0.10032362459546929,1,6
2016-08-03,0.67,1,-1,-0.10808758385014562,2,6
2016-08-03,0.71,0,-1,-0.02564773619471353,1,6
2016-08-04,1.07,1,-1,-0.060548498159800644,1,6
2016-08-04,0.79,0,-1,-0.05661434977578477,1,4
2016-08-04,0.59,0,-1,-0.05144694533762058,3,5
2016-08-05,0.61,1,0,-0.002552021986650873,2,4
2016-08-05,0.17,1,0,0.01888341543513961,7,5
2016-08-05,0.17,0,1,0.04007045354469397,2,4
2016-08-09,0.65,1,-1,-0.06393054459352805,4,6
2016-08-09,0.56,1,-1,-0.05883985567582582,3,3
2016-08-09,-0.25,0,-1,-0.1074509803921568,9,4
2016-10-25,2.31,1,0,0.006640841173215329,3,1
2016-10-26,0.69,1,0,-0.01664093326471091,4,2
2016-10-26,0.91,1,1,0.04763912310286689,5,3
2016-10-26,1.96,1,1,0.039141889348889784,3,5
2016-10-27,0.7,1,1,0.03196125907990316,3,3
2016-10-31,0.88,1,1,0.10302297460701325,4,1
2016-10-31,0.44,1,-1,-0.027327613600254194,4,4
2016-10-31,1.14,1,-1,-0.03733548213806053,2,2
2016-10-31,1.28,1,0,-0.016045958795562504,1,2
2016-11-01,0.63,1,1,0.040401061633736496,3,3
2016-11-01,1.34,1,1,0.09179632248939172,3,3
2016-11-01,0.83,1,1,0.07784431137724558,2,4
2016-11-01,1.3,1,0,0.005749880210828932,2,3
2016-11-01,0.06,0,1,0.07605251244907196,5,1
2016-11-02,1.05,1,1,0.03925648494936882,4,1
2016-11-02,1.02,1,1,0.08595761536938,4,1
2016-11-03,0.8,0,1,0.07303828400760264,5,0
2016-11-03,1.51,1,0,-0.003389830508474576,3,0
2016-11-03,2.35,0,1,0.09539873161516675,3,1
2016-11-04,0.41,1,1,0.17273497036409816,5,0
2016-11-04,0.32,0,-1,-0.07171635777598716,7,0
2016-11-04,0.64,0,1,0.48066783831282955,9,0
2016-11-04,1.52,1,1,0.050383782719936925,3,1
2016-11-04,0.94,0,1,0.04632509412342443,2,1
2016-11-04,1.68,1,0,-0.009730822696827955,2,1
2016-11-04,0.9,1,-1,-0.10520197616971805,5,1
2016-11-09,0.39,1,1,0.07109408258833554,5,1
2017-01-26,0.67,1,1,0.07717960933777988,4,4
2017-01-27,0.3,0,1,0.08428618098660563,5,3
2017-02-01,0.6,1,1,0.09212018140589569,2,4
2017-02-01,0.61,0,1,0.05861828332170271,4,5
2017-02-01,0.99,0,1,0.09137834821428567,3,4
2017-02-02,0.29,0,1,0.06335053965274526,4,4
2017-02-07,1.08,1,1,0.07816640169581335,5,4
2017-02-08,0.44,0,0,-0.022937625754527173,7,5
2017-02-09,0.81,0,1,0.07919835808282026,3,3
2017-02-15,0.31,1,1,0.05387575590984059,4,2
2017-02-16,1.33,1,1,0.04458698372966199,4,6
2017-02-16,0.68,1,1,0.08585034013605446,4,3
2017-02-16,0.13,0,1,0.026419336706014686,4,3
2017-02-16,0.81,0,1,0.0525778458397142,3,3
2017-02-21,0.38,0,-1,-0.027606365703150306,5,3
2017-02-21,0.57,0,0,0.010144153764015017,4,4
2017-02-21,1.02,1,0,0.024873688301593495,3,7
2017-02-21,0.72,0,1,0.03281250000000001,3,4
2017-02-22,0.24,0,0,0.002415945238574541,1,3
2017-02-22,0.33,0,0,0.021455616323096408,4,6
2017-02-23,0.28,0,0,0.008856275303643581,5,6
2017-02-24,0.54,1,-1,-0.0416575312431484,5,4
2017-02-24,0.47,0,1,0.03917220990391713,2,6
2017-02-27,0.35,0,0,-0.015624999999999976,8,5
2017-02-28,0.26,0,0,0.006137184115523528,1,7
2017-02-28,1.52,1,0,0.01823819077147547,6,7
2017-02-28,-0.16,1,-1,-0.11097922848664693,9,9
2017-04-21,0.44,1,1,0.08948478457366674,0,4
2017-04-26,0.99,0,0,0.00234741784037549,1,6
2017-04-26,1.79,1,0,0.021702651303277747,0,6
2017-04-27,0.96,1,1,0.03833112192245332,0,4
2017-04-27,0.78,1,1,0.07381429525718093,2,1
2017-04-28,0.92,1,1,0.02882635552505143,1,3
2017-05-01,1.1,1,0,-0.010870939198584242,0,4
2017-05-01,0.71,1,0,0.020300088261253346,0,4
2017-05-02,-0.51,0,1,0.6321762349799732,8,0
2017-05-02,1.06,1,0,0.01018421446757536,0,4
2017-05-02,1.12,1,1,0.029993408042188533,0,4
2017-05-02,0.21,1,1,0.04385964912280705,0,5
2017-05-03,0.82,0,0,0.017481929736090085,0,3
2017-05-03,0.65,1,1,0.12891268533772648,1,1
2017-05-03,0.52,0,1,0.06567124735729385,0,6
2017-05-03,0.71,1,1,0.09143327841845135,1,5
2017-05-03,1.52,1,1,0.07409682968788402,0,4
2017-05-03,0.66,1,0,-0.00863627234384414,0,2
2017-05-03,0.44,1,1,0.030599448206671834,0,3
